O74740	Accession	Label	Set	CV_Fold
Q5BKX6	Q5BKX6	0	Training	1
P24499	P24499	0	Training	2
P14712	P14712	0	Training	3
Q24167	Q24167	0	Training	4
P53885	P53885	0	Training	0
B0F481	B0F481	0	Training	1
P56286	P56286	0	Training	2
Q9BSK0	Q9BSK0	0	Training	3
O65220	O65220	0	Training	4
P07471	P07471	0	Training	0
Q9Y530	Q9Y530	0	Training	1
Q29455	Q29455	0	Training	2
O13894	O13894	0	Training	3
P29147	P29147	0	Training	4
Q08887	Q08887	0	Training	0
P25420	P25420	0	Training	1
Q5PP51	Q5PP51	0	Training	2
O88845	O88845	0	Training	3
P25638	P25638	0	Training	4
Q6P1L8	Q6P1L8	0	Training	0
Q9NYQ3	Q9NYQ3	0	Training	1
Q6UN15	Q6UN15	0	Training	2
O13853	O13853	0	Training	3
Q9VC45	Q9VC45	0	Training	4
Q04751	Q04751	0	Training	0
P38198	P38198	0	Training	1
Q05809	Q05809	0	Training	2
Q9FEN9	Q9FEN9	0	Training	3
Q04341	Q04341	0	Training	4
Q9WVH3	Q9WVH3	0	Training	0
P53721	P53721	0	Training	1
Q12180	Q12180	0	Training	2
Q9R269	Q9R269	0	Training	3
Q1K8E0	Q1K8E0	0	Training	4
P40568	P40568	0	Training	0
Q9QWH1	Q9QWH1	0	Training	1
P07276	P07276	0	Training	2
P27864	P27864	0	Training	3
Q15172	Q15172	0	Training	4
Q20924	Q20924	0	Training	0
Q9DBN1	Q9DBN1	0	Training	1
Q9W6V6	Q9W6V6	0	Training	2
Q01453	Q01453	0	Training	3
Q04264	Q04264	0	Training	4
Q84JW1	Q84JW1	0	Training	0
Q9CPR8	Q9CPR8	0	Training	1
Q9FEC1	Q9FEC1	0	Training	2
Q9NWH2	Q9NWH2	0	Training	3
P40159	P40159	0	Training	4
P38324	P38324	0	Training	0
O13294	O13294	0	Training	1
Q02796	Q02796	0	Training	2
Q02794	Q02794	0	Training	3
P09543	P09543	0	Training	4
Q8WTT2	Q8WTT2	0	Training	0
F4JP43	F4JP43	0	Training	1
P63040	P63040	0	Training	2
O54963	O54963	0	Training	3
Q5T6F0	Q5T6F0	0	Training	4
Q6IQ49	Q6IQ49	0	Training	0
Q9H299	Q9H299	0	Training	1
Q9C8Y3	Q9C8Y3	0	Training	2
O74400	O74400	0	Training	3
Q5ZEP9	Q5ZEP9	0	Training	4
Q9USX8	Q9USX8	0	Training	0
Q6P4A7	Q6P4A7	0	Training	1
Q9FMW8	Q9FMW8	0	Training	2
P34219	P34219	0	Training	3
P69851	P69851	0	Training	4
Q9H7D7	Q9H7D7	0	Training	0
Q8R3C6	Q8R3C6	0	Training	1
Q6NKS4	Q6NKS4	0	Training	2
Q43157	Q43157	0	Training	3
Q96E09	Q96E09	0	Training	4
C0LLJ0	C0LLJ0	0	Training	0
O76075	O76075	0	Training	1
Q7XHR2	Q7XHR2	0	Training	2
P0DI83	P0DI83	0	Training	3
Q0WUA3	Q0WUA3	0	Training	4
Q08553	Q08553	0	Training	0
Q9C5Z3	Q9C5Z3	0	Training	1
Q0PNE2	Q0PNE2	0	Training	2
Q8W234	Q8W234	0	Training	3
Q05543	Q05543	0	Training	4
Q9MBA2	Q9MBA2	0	Training	0
P38818	P38818	0	Training	1
Q6P0N0	Q6P0N0	0	Training	2
Q53TQ3	Q53TQ3	0	Training	3
Q9VQ91	Q9VQ91	0	Training	4
Q9VDW6	Q9VDW6	0	Training	0
O60306	O60306	0	Training	1
Q9H582	Q9H582	0	Training	2
Q19087	Q19087	0	Training	3
Q24142	Q24142	0	Training	4
Q19LA2	Q19LA2	0	Training	0
P46970	P46970	0	Training	1
P0C5Y7	P0C5Y7	0	Training	2
P57725	P57725	0	Training	3
Q60EN8	Q60EN8	0	Training	4
P82162	P82162	0	Training	0
Q8VY15	Q8VY15	0	Training	1
Q7Z6G8	Q7Z6G8	0	Training	2
O74975	O74975	0	Training	3
Q80U87	Q80U87	0	Training	4
Q5T7W0	Q5T7W0	0	Training	0
Q9H467	Q9H467	0	Training	1
O13699	O13699	0	Training	2
Q8IDM6	Q8IDM6	0	Training	3
Q96CM3	Q96CM3	0	Training	4
Q9P2Y4	Q9P2Y4	0	Training	0
Q9GGE2	Q9GGE2	0	Training	1
P22224	P22224	0	Training	2
Q86U44	Q86U44	0	Training	3
Q9M1E7	Q9M1E7	0	Training	4
Q8I8U7	Q8I8U7	0	Training	0
Q12748	Q12748	0	Training	1
F4JTE7	F4JTE7	0	Training	2
Q9H7T9	Q9H7T9	0	Training	3
B5TYT3	B5TYT3	0	Training	4
Q9C9G6	Q9C9G6	0	Training	0
P87133	P87133	0	Training	1
Q584D1	Q584D1	0	Training	2
Q96VH4	Q96VH4	0	Training	3
Q8CI15	Q8CI15	0	Training	4
O14079	O14079	0	Training	0
Q9UUK4	Q9UUK4	0	Training	1
Q7TSZ8	Q7TSZ8	0	Training	2
Q9H1I8	Q9H1I8	0	Training	3
Q3UQS8	Q3UQS8	0	Training	4
O89091	O89091	0	Training	0
P36011	P36011	0	Training	1
Q9CQR4	Q9CQR4	0	Training	2
Q12433	Q12433	0	Training	3
Q02099	Q02099	0	Training	4
Q6P2Q9	Q6P2Q9	0	Training	0
Q86X29	Q86X29	0	Training	1
G5EDP2	G5EDP2	0	Training	2
H3BKT1	H3BKT1	0	Training	3
Q9VPQ6	Q9VPQ6	0	Training	4
P32388	P32388	0	Training	0
Q06011	Q06011	0	Training	1
P22572	P22572	0	Training	2
P12686	P12686	0	Training	3
P32776	P32776	0	Training	4
Q8TAT5	Q8TAT5	0	Training	0
Q8NF64	Q8NF64	0	Training	1
P16383	P16383	0	Training	2
Q08949	Q08949	0	Training	3
P41895	P41895	0	Training	4
Q924H7	Q924H7	0	Training	0
Q02199	Q02199	0	Training	1
Q9ASV5	Q9ASV5	0	Training	2
Q9JKU3	Q9JKU3	0	Training	3
O14893	O14893	0	Training	4
Q9C4Z7	Q9C4Z7	0	Training	0
P81760	P81760	0	Training	1
Q9D495	Q9D495	0	Training	2
F4JZY1	F4JZY1	0	Training	3
Q9U2Z0	Q9U2Z0	0	Training	4
O13788	O13788	0	Training	0
Q5PRF9	Q5PRF9	0	Training	1
P14905	P14905	0	Training	2
Q9Y3V2	Q9Y3V2	0	Training	3
P49957	P49957	0	Training	4
P28033	P28033	0	Training	0
Q3URU2	Q3URU2	0	Training	1
Q99679	Q99679	0	Training	2
Q7M750	Q7M750	0	Training	3
Q8WUX2	Q8WUX2	0	Training	4
P0CH07	P0CH07	0	Training	0
P0DH90	P0DH90	0	Training	1
Q9BXC9	Q9BXC9	0	Training	2
P39547	P39547	0	Training	3
P48608	P48608	0	Training	4
Q8W4D8	Q8W4D8	0	Training	0
P32786	P32786	0	Training	1
Q9SZD6	Q9SZD6	0	Training	2
P48526	P48526	0	Training	3
O08774	O08774	0	Training	4
Q24246	Q24246	0	Training	0
P27707	P27707	0	Training	1
Q9V7P1	Q9V7P1	0	Training	2
P27216	P27216	0	Training	3
Q9UTJ8	Q9UTJ8	0	Training	4
Q9C086	Q9C086	0	Training	0
Q9NY74	Q9NY74	0	Training	1
Q9UHV7	Q9UHV7	0	Training	2
Q22812	Q22812	0	Training	3
Q03760	Q03760	0	Training	4
Q94BT9	Q94BT9	0	Training	0
P25453	P25453	0	Training	1
Q674X7	Q674X7	0	Training	2
Q12315	Q12315	0	Training	3
P08657	P08657	0	Training	4
Q8L7E5	Q8L7E5	0	Training	0
O08773	O08773	0	Training	1
Q9LRZ3	Q9LRZ3	0	Training	2
Q9NPI6	Q9NPI6	0	Training	3
Q9H6K1	Q9H6K1	0	Training	4
A0A445AGS0	A0A445AGS0	0	Training	0
P16658	P16658	0	Training	1
Q62796	Q62796	0	Training	2
Q5A4H5	Q5A4H5	0	Training	3
Q13342	Q13342	0	Training	4
P51163	P51163	0	Training	0
A0A509AKT6	A0A509AKT6	0	Training	1
Q94F00	Q94F00	0	Training	2
Q15286	Q15286	0	Training	3
Q9P0P8	Q9P0P8	0	Training	4
Q8BVG4	Q8BVG4	0	Training	0
P19880	P19880	0	Training	1
Q94CD4	Q94CD4	0	Training	2
P41002	P41002	0	Training	3
P53875	P53875	0	Training	4
P0DW81	P0DW81	0	Training	0
P17442	P17442	0	Training	1
P53167	P53167	0	Training	2
U4PAZ9	U4PAZ9	0	Training	3
P53628	P53628	0	Training	4
Q8WZK3	Q8WZK3	0	Training	0
O75004	O75004	0	Training	1
Q75QN2	Q75QN2	0	Training	2
O46385	O46385	0	Training	3
Q91WW3	Q91WW3	0	Training	4
O49629	O49629	0	Training	0
P82913	P82913	0	Training	1
Q7Z410	Q7Z410	0	Training	2
P46673	P46673	0	Training	3
Q3E785	Q3E785	0	Training	4
Q12373	Q12373	0	Training	0
O35250	O35250	0	Training	1
P60323	P60323	0	Training	2
Q12283	Q12283	0	Training	3
P0CS82	P0CS82	0	Training	4
O94494	O94494	0	Training	0
Q02793	Q02793	0	Training	1
F4K933	F4K933	0	Training	2
O94410	O94410	0	Training	3
Q96CX2	Q96CX2	0	Training	4
P47988	P47988	0	Training	0
Q08509	Q08509	0	Training	1
Q94545	Q94545	0	Training	2
Q17390	Q17390	0	Training	3
Q682U6	Q682U6	0	Training	4
Q9FVR6	Q9FVR6	0	Training	0
P40164	P40164	0	Training	1
Q9Y2I8	Q9Y2I8	0	Training	2
Q4VAE3	Q4VAE3	0	Training	3
G5EFY4	G5EFY4	0	Training	4
P39952	P39952	0	Training	0
P11325	P11325	0	Training	1
Q12334	Q12334	0	Training	2
Q6IQ55	Q6IQ55	0	Training	3
A0A1D9BZF0	A0A1D9BZF0	0	Training	4
Q8N196	Q8N196	0	Training	0
P53188	P53188	0	Training	1
P33203	P33203	0	Training	2
Q99575	Q99575	0	Training	3
Q9FEC4	Q9FEC4	0	Training	4
P22134	P22134	0	Training	0
Q94BN0	Q94BN0	0	Training	1
O15427	O15427	0	Training	2
P27516	P27516	0	Training	3
A0A3Q7HWE4	A0A3Q7HWE4	0	Training	4
Q8GT66	Q8GT66	0	Training	0
Q8NFG4	Q8NFG4	0	Training	1
Q9HDZ3	Q9HDZ3	0	Training	2
Q9Z2S7	Q9Z2S7	0	Training	3
Q9ULE6	Q9ULE6	0	Training	4
Q6NZN1	Q6NZN1	0	Training	0
A2ALU4	A2ALU4	0	Training	1
O60141	O60141	0	Training	2
P52868	P52868	0	Training	3
Q9STY4	Q9STY4	0	Training	4
Q9P7L2	Q9P7L2	0	Training	0
P47158	P47158	0	Training	1
Q920F5	Q920F5	0	Training	2
Q9NGX9	Q9NGX9	0	Training	3
Q9SCR2	Q9SCR2	0	Training	4
Q8GSJ6	Q8GSJ6	0	Training	0
J9VQC4	J9VQC4	0	Training	1
P14908	P14908	0	Training	2
Q08702	Q08702	0	Training	3
Q8IWA0	Q8IWA0	0	Training	4
Q69ZR9	Q69ZR9	0	Training	0
Q68CP9	Q68CP9	0	Training	1
A0A075TRC0	A0A075TRC0	0	Training	2
Q0D2I5	Q0D2I5	0	Training	3
Q9EPK5	Q9EPK5	0	Training	4
Q61127	Q61127	0	Training	0
P06100	P06100	0	Training	1
Q06148	Q06148	0	Training	2
O49570	O49570	0	Training	3
Q0WQ41	Q0WQ41	0	Training	4
Q5U623	Q5U623	0	Training	0
Q9FLU1	Q9FLU1	0	Training	1
Q14140	Q14140	0	Training	2
O60674	O60674	0	Training	3
Q8RWD5	Q8RWD5	0	Training	4
O94972	O94972	0	Training	0
Q12361	Q12361	0	Training	1
P42900	P42900	0	Training	2
A2A288	A2A288	0	Training	3
P47118	P47118	0	Training	4
Q1K548	Q1K548	0	Training	0
O60921	O60921	0	Training	1
P34241	P34241	0	Training	2
P33759	P33759	0	Training	3
G5EEG9	G5EEG9	0	Training	4
Q09184	Q09184	0	Training	0
Q9VKV5	Q9VKV5	0	Training	1
Q6ZIV7	Q6ZIV7	0	Training	2
Q07938	Q07938	0	Training	3
P43557	P43557	0	Training	4
O61707	O61707	0	Training	0
P38255	P38255	0	Training	1
Q9BWC9	Q9BWC9	0	Training	2
Q8N6I1	Q8N6I1	0	Training	3
Q10178	Q10178	0	Training	4
P14604	P14604	0	Training	0
P40099	P40099	0	Training	1
Q9D011	Q9D011	0	Training	2
P82670	P82670	0	Training	3
Q5VTT2	Q5VTT2	0	Training	4
Q9LES2	Q9LES2	0	Training	0
O14161	O14161	0	Training	1
Q76KJ5	Q76KJ5	0	Training	2
P14731	P14731	0	Training	3
P19447	P19447	0	Training	4
Q70CQ1	Q70CQ1	0	Training	0
P00390	P00390	0	Training	1
P46059	P46059	0	Training	2
Q5VWN6	Q5VWN6	0	Training	3
D3Z7H4	D3Z7H4	0	Training	4
Q01750	Q01750	0	Training	0
Q7ZT48	Q7ZT48	0	Training	1
Q9Y3F4	Q9Y3F4	0	Training	2
Q8BVE8	Q8BVE8	0	Training	3
Q6J9Q2	Q6J9Q2	0	Training	4
Q96E29	Q96E29	0	Training	0
P53808	P53808	0	Training	1
P32626	P32626	0	Training	2
Q15560	Q15560	0	Training	3
P22354	P22354	0	Training	4
O94913	O94913	0	Training	0
O82204	O82204	0	Training	1
P30316	P30316	0	Training	2
O22059	O22059	0	Training	3
Q6ZQX7	Q6ZQX7	0	Training	4
A0A0P0WQ90	A0A0P0WQ90	0	Training	0
P38193	P38193	0	Training	1
A0A5B9G902	A0A5B9G902	0	Training	2
Q9D4H9	Q9D4H9	0	Training	3
Q02630	Q02630	0	Training	4
Q9BXJ9	Q9BXJ9	0	Training	0
Q09014	Q09014	0	Training	1
Q8NI36	Q8NI36	0	Training	2
P25188	P25188	0	Training	3
Q9P7H5	Q9P7H5	0	Training	4
Q9Y7K9	Q9Y7K9	0	Training	0
Q8S4Q6	Q8S4Q6	0	Training	1
Q9USM4	Q9USM4	0	Training	2
P40360	P40360	0	Training	3
Q66GP9	Q66GP9	0	Training	4
Q7S910	Q7S910	0	Training	0
A8WFJ9	A8WFJ9	0	Training	1
Q6ZYL4	Q6ZYL4	0	Training	2
P22033	P22033	0	Training	3
Q06678	Q06678	0	Training	4
Q08687	Q08687	0	Training	0
Q9H8E8	Q9H8E8	0	Training	1
P53125	P53125	0	Training	2
P40381	P40381	0	Training	3
Q9NZZ3	Q9NZZ3	0	Training	4
Q9NPD3	Q9NPD3	0	Training	0
Q9D1F4	Q9D1F4	0	Training	1
Q96PN7	Q96PN7	0	Training	2
Q07163	Q07163	0	Training	3
Q8IZD2	Q8IZD2	0	Training	4
P32505	P32505	0	Training	0
Q96GX5	Q96GX5	0	Training	1
P41812	P41812	0	Training	2
Q9ZVA7	Q9ZVA7	0	Training	3
Q8LDU1	Q8LDU1	0	Training	4
Q9R0X4	Q9R0X4	0	Training	0
B6HQN4	B6HQN4	0	Training	1
O60287	O60287	0	Training	2
Q9HAV7	Q9HAV7	0	Training	3
Q8TEC5	Q8TEC5	0	Training	4
Q9HCC9	Q9HCC9	0	Training	0
Q8NF50	Q8NF50	0	Training	1
Q8C624	Q8C624	0	Training	2
Q15038	Q15038	0	Training	3
Q12393	Q12393	0	Training	4
O22267	O22267	0	Training	0
P16455	P16455	0	Training	1
P43309	P43309	0	Training	2
O00463	O00463	0	Training	3
P15771	P15771	0	Training	4
Q9LY23	Q9LY23	0	Training	0
P40084	P40084	0	Training	1
A2AMT1	A2AMT1	0	Training	2
Q557E7	Q557E7	0	Training	3
Q9W0I5	Q9W0I5	0	Training	4
Q9LV91	Q9LV91	0	Training	0
Q9FNZ5	Q9FNZ5	0	Training	1
Q12018	Q12018	0	Training	2
O74350	O74350	0	Training	3
P11930	P11930	0	Training	4
Q9P2N6	Q9P2N6	0	Training	0
Q9BUL9	Q9BUL9	0	Training	1
P53251	P53251	0	Training	2
Q04477	Q04477	0	Training	3
Q6PR54	Q6PR54	0	Training	4
E2RU10	E2RU10	0	Training	0
P49756	P49756	0	Training	1
Q6GPH4	Q6GPH4	0	Training	2
Q06163	Q06163	0	Training	3
Q8N108	Q8N108	0	Training	4
Q15326	Q15326	0	Training	0
Q8VCM2	Q8VCM2	0	Training	1
Q9P267	Q9P267	0	Training	2
Q04149	Q04149	0	Training	3
Q04781	Q04781	0	Training	4
A0A125S9M5	A0A125S9M5	0	Training	0
Q5XIQ3	Q5XIQ3	0	Training	1
P36517	P36517	0	Training	2
P16522	P16522	0	Training	3
P37263	P37263	0	Training	4
Q84N64	Q84N64	0	Training	0
Q10PI9	Q10PI9	0	Training	1
P36136	P36136	0	Training	2
P41846	P41846	0	Training	3
Q86V15	Q86V15	0	Training	4
P47164	P47164	0	Training	0
Q14192	Q14192	0	Training	1
K4C9E2	K4C9E2	0	Training	2
Q10666	Q10666	0	Training	3
P40923	P40923	0	Training	4
P51948	P51948	0	Training	0
P49334	P49334	0	Training	1
Q6SKR2	Q6SKR2	0	Training	2
Q18490	Q18490	0	Training	3
Q06142	Q06142	0	Training	4
Q9VWE6	Q9VWE6	0	Training	0
P0DJH7	P0DJH7	0	Training	1
Q80T69	Q80T69	0	Training	2
Q9NAD6	Q9NAD6	0	Training	3
P39706	P39706	0	Training	4
K7W9N9	K7W9N9	0	Training	0
G5ED29	G5ED29	0	Training	1
Q9LFQ9	Q9LFQ9	0	Training	2
Q84MB6	Q84MB6	0	Training	3
O13777	O13777	0	Training	4
Q5XG73	Q5XG73	0	Training	0
Q96S44	Q96S44	0	Training	1
D3YN49	D3YN49	0	Training	2
J9VP29	J9VP29	0	Training	3
Q8QFX1	Q8QFX1	0	Training	4
Q96JZ2	Q96JZ2	0	Training	0
Q8MIR0	Q8MIR0	0	Training	1
Q9JKL7	Q9JKL7	0	Training	2
Q7ZYP6	Q7ZYP6	0	Training	3
Q7Z412	Q7Z412	0	Training	4
Q9LU68	Q9LU68	0	Training	0
A0A120KVR8	A0A120KVR8	0	Training	1
P53540	P53540	0	Training	2
Q09406	Q09406	0	Training	3
Q12149	Q12149	0	Training	4
Q944A6	Q944A6	0	Training	0
Q9Z0W3	Q9Z0W3	0	Training	1
A8J785	A8J785	0	Training	2
P53999	P53999	0	Training	3
P92792	P92792	0	Training	4
P13405	P13405	0	Training	0
P38727	P38727	0	Training	1
Q96GZ6	Q96GZ6	0	Training	2
P25054	P25054	0	Training	3
Q23064	Q23064	0	Training	4
P82916	P82916	0	Training	0
P48382	P48382	0	Training	1
Q8K4R8	Q8K4R8	0	Training	2
Q8GZR2	Q8GZR2	0	Training	3
L0R6Q1	L0R6Q1	0	Training	4
Q23272	Q23272	0	Training	0
Q9SAR5	Q9SAR5	0	Training	1
Q04347	Q04347	0	Training	2
P40053	P40053	0	Training	3
P29539	P29539	0	Training	4
Q9VBX2	Q9VBX2	0	Training	0
T2BMW7	T2BMW7	0	Training	1
Q9WV69	Q9WV69	0	Training	2
Q39083	Q39083	0	Training	3
P17677	P17677	0	Training	4
Q9GZS1	Q9GZS1	0	Training	0
P39715	P39715	0	Training	1
Q96C01	Q96C01	0	Training	2
Q06623	Q06623	0	Training	3
O43913	O43913	0	Training	4
P25398	P25398	0	Training	0
O43008	O43008	0	Training	1
Q96I23	Q96I23	0	Training	2
Q99741	Q99741	0	Training	3
P21269	P21269	0	Training	4
Q9D494	Q9D494	0	Training	0
Q6PG16	Q6PG16	0	Training	1
Q6P8Z1	Q6P8Z1	0	Training	2
Q92922	Q92922	0	Training	3
Q7SCZ3	Q7SCZ3	0	Training	4
P23326	P23326	0	Training	0
Q9STY0	Q9STY0	0	Training	1
O14925	O14925	0	Training	2
Q96BQ5	Q96BQ5	0	Training	3
Q8L773	Q8L773	0	Training	4
Q9HCI7	Q9HCI7	0	Training	0
P25963	P25963	0	Training	1
Q9UBY9	Q9UBY9	0	Training	2
Q12308	Q12308	0	Training	3
E9EWQ4	E9EWQ4	0	Training	4
Q8CDY7	Q8CDY7	0	Training	0
Q8LD98	Q8LD98	0	Training	1
P30414	P30414	0	Training	2
Q9Y6W5	Q9Y6W5	0	Training	3
Q99L90	Q99L90	0	Training	4
Q96I59	Q96I59	0	Training	0
Q8N7J2	Q8N7J2	0	Training	1
P46940	P46940	0	Training	2
O00566	O00566	0	Training	3
Q8IZL2	Q8IZL2	0	Training	4
P15343	P15343	0	Training	0
Q18237	Q18237	0	Training	1
Q86YI8	Q86YI8	0	Training	2
Q8K3Y6	Q8K3Y6	0	Training	3
Q96EV2	Q96EV2	0	Training	4
O65282	O65282	0	Training	0
Q8NBZ0	Q8NBZ0	0	Training	1
Q5FWF5	Q5FWF5	0	Training	2
P38291	P38291	0	Training	3
P32862	P32862	0	Training	4
K4PW38	K4PW38	0	Training	0
P49773	P49773	0	Training	1
P32841	P32841	0	Training	2
Q02953	Q02953	0	Training	3
Q9M2X3	Q9M2X3	0	Training	4
Q6CLY8	Q6CLY8	0	Training	0
Q9VDE4	Q9VDE4	0	Training	1
P07255	P07255	0	Training	2
Q7M2P1	Q7M2P1	0	Training	3
Q3E747	Q3E747	0	Training	4
S0DQI7	S0DQI7	0	Training	0
P34234	P34234	0	Training	1
Q03694	Q03694	0	Training	2
K7WDL7	K7WDL7	0	Training	3
Q7Z7K0	Q7Z7K0	0	Training	4
Q11120	Q11120	0	Training	0
Q12066	Q12066	0	Training	1
O43765	O43765	0	Training	2
Q8VY52	Q8VY52	0	Training	3
B6HU70	B6HU70	0	Training	4
Q7FAD5	Q7FAD5	0	Training	0
Q9NVR2	Q9NVR2	0	Training	1
P46959	P46959	0	Training	2
P35435	P35435	0	Training	3
P68350	P68350	0	Training	4
P79937	P79937	0	Training	0
Q5SXA9	Q5SXA9	0	Training	1
Q8RUN2	Q8RUN2	0	Training	2
Q06109	Q06109	0	Training	3
B2RUZ4	B2RUZ4	0	Training	4
Q8TAS1	Q8TAS1	0	Training	0
P53277	P53277	0	Training	1
Q8IWU4	Q8IWU4	0	Training	2
Q13015	Q13015	0	Training	3
P00107	P00107	0	Training	4
P33441	P33441	0	Training	0
Q9NYJ1	Q9NYJ1	0	Training	1
P32591	P32591	0	Training	2
Q9GZT3	Q9GZT3	0	Training	3
Q14657	Q14657	0	Training	4
Q15847	Q15847	0	Training	0
Q6IBW4	Q6IBW4	0	Training	1
Q9H3F6	Q9H3F6	0	Training	2
P93025	P93025	0	Training	3
Q27403	Q27403	0	Training	4
S8F0G9	S8F0G9	0	Training	0
Q9BUH6	Q9BUH6	0	Training	1
Q23243	Q23243	0	Training	2
P10156	P10156	0	Training	3
P40535	P40535	0	Training	4
Q5VWQ8	Q5VWQ8	0	Training	0
P63098	P63098	0	Training	1
Q62209	Q62209	0	Training	2
Q9NX20	Q9NX20	0	Training	3
Q8NDF8	Q8NDF8	0	Training	4
Q06188	Q06188	0	Training	0
Q9LK76	Q9LK76	0	Training	1
O43058	O43058	0	Training	2
Q04377	Q04377	0	Training	3
P91278	P91278	0	Training	4
