Q12396	accession	Label	Set	CV_Fold	organism	kingdom	protein_length	cleavage_position	tm_helix_first_90
Q99MA2	Q99MA2	1	Training	2	Rattus norvegicus	Metazoa	674	22.0	
Q86YD3	Q86YD3	1	Training	3	Homo sapiens	Metazoa	366	26.0	
O55232	O55232	1	Training	4	Rattus norvegicus	Metazoa	130	32.0	
A0A0F7YYX3	A0A0F7YYX3	1	Training	0	Conus victoriae	Metazoa	196	25.0	
Q8WQK0	Q8WQK0	1	Training	1	Cotesia rubecula	Metazoa	65	23.0	
P31358	P31358	1	Training	2	Homo sapiens	Metazoa	61	24.0	
Q5EPH2	Q5EPH2	1	Training	3	Rhipicephalus bursa	Metazoa	97	22.0	
Q6UXK5	Q6UXK5	1	Training	4	Homo sapiens	Metazoa	716	25.0	
Q01151	Q01151	1	Training	0	Homo sapiens	Metazoa	205	19.0	
Q06703	Q06703	1	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	312	44.0	
P54803	P54803	1	Training	2	Homo sapiens	Metazoa	685	42.0	
Q99519	Q99519	1	Training	3	Homo sapiens	Metazoa	415	47.0	
Q96S96	Q96S96	1	Training	4	Homo sapiens	Metazoa	227	22.0	
Q9GZZ8	Q9GZZ8	1	Training	0	Homo sapiens	Metazoa	138	19.0	
A6XMY0	A6XMY0	1	Training	1	Hyas araneus	Metazoa	64	25.0	
O00206	O00206	1	Training	2	Homo sapiens	Metazoa	839	23.0	
Q15399	Q15399	1	Training	3	Homo sapiens	Metazoa	786	24.0	
P10820	P10820	1	Training	4	Mus musculus	Metazoa	554	20.0	
P01215	P01215	1	Training	0	Homo sapiens	Metazoa	116	24.0	
Q9P0V8	Q9P0V8	1	Training	1	Homo sapiens	Metazoa	285	22.0	
Q09332	Q09332	1	Training	2	Drosophila melanogaster	Metazoa	1548	22.0	
P02780	P02780	1	Training	3	Rattus norvegicus	Metazoa	95	18.0	
P01588	P01588	1	Training	4	Homo sapiens	Metazoa	193	27.0	
Q20224	Q20224	1	Training	0	Caenorhabditis elegans	Metazoa	161	19.0	
O97939	O97939	1	Training	1	Sus scrofa	Metazoa	1142	38.0	
Q05091	Q05091	1	Training	2	Pyrus communis	Plants	330	24.0	
P0DUT6	P0DUT6	1	Training	3	Doratifera vulnerans	Metazoa	66	20.0	
P28770	P28770	1	Training	4	Oncorhynchus mykiss	Metazoa	221	21.0	
P10813	P10813	1	Training	0	Aquarana catesbeiana	Metazoa	215	25.0	
Q01965	Q01965	1	Training	1	Mus musculus	Metazoa	654	47.0	
P02659	P02659	1	Training	2	Gallus gallus	Metazoa	106	24.0	
P09619	P09619	1	Training	3	Homo sapiens	Metazoa	1106	32.0	
Q62867	Q62867	1	Training	4	Rattus norvegicus	Metazoa	317	24.0	
P13385	P13385	1	Training	0	Homo sapiens	Metazoa	188	30.0	
Q01129	Q01129	1	Training	1	Rattus norvegicus	Metazoa	354	16.0	
Q8NBP7	Q8NBP7	1	Training	2	Homo sapiens	Metazoa	692	30.0	
C7G3K3	C7G3K3	1	Training	3	Liocheles australasiae	Metazoa	80	21.0	
Q39962	Q39962	1	Training	4	Hevea brasiliensis	Plants	238	31.0	
Q7M4T0	Q7M4T0	1	Training	0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	480	17.0	
Q9JI59	Q9JI59	1	Training	1	Mus musculus	Metazoa	298	28.0	
Q9BX59	Q9BX59	1	Training	2	Homo sapiens	Metazoa	468	18.0	
Q92765	Q92765	1	Training	3	Homo sapiens	Metazoa	325	32.0	
Q9NPA0	Q9NPA0	1	Training	4	Homo sapiens	Metazoa	242	23.0	
Q8T0W3	Q8T0W3	1	Training	0	Pimpla hypochondriaca	Metazoa	63	25.0	
P47001	P47001	1	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	227	21.0	
P07507	P07507	1	Training	2	Bos taurus	Metazoa	103	19.0	
Q8N766	Q8N766	1	Training	3	Homo sapiens	Metazoa	993	22.0	
Q6UX39	Q6UX39	1	Training	4	Homo sapiens	Metazoa	209	16.0	
Q59XX2	Q59XX2	1	Training	0	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	378	32.0	
Q7Z5L0	Q7Z5L0	1	Training	1	Homo sapiens	Metazoa	202	24.0	
P02750	P02750	1	Training	2	Homo sapiens	Metazoa	347	35.0	
Q6UWI2	Q6UWI2	1	Training	3	Homo sapiens	Metazoa	310	20.0	
P01068	P01068	1	Training	4	Ananas comosus	Plants	246	19.0	
Q9H9K5	Q9H9K5	1	Training	0	Homo sapiens	Metazoa	563	26.0	
Q868Z9	Q868Z9	1	Training	1	Drosophila melanogaster	Metazoa	2898	26.0	
O88917	O88917	1	Training	2	Rattus norvegicus	Metazoa	1515	24.0	
Q6T6C1	Q6T6C1	1	Training	3	Theromyzon tessulatum	Metazoa	107	21.0	
O02839	O02839	1	Training	4	Sus scrofa	Metazoa	363	44.0	
Q9UAH3	Q9UAH3	1	Training	0	Pinctada fucata	Metazoa	129	23.0	
Q5B1W7	Q5B1W7	1	Training	1	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	385	18.0	
Q9NSA1	Q9NSA1	1	Training	2	Homo sapiens	Metazoa	209	28.0	
Q8TD06	Q8TD06	1	Training	3	Homo sapiens	Metazoa	166	21.0	
P01830	P01830	1	Training	4	Rattus norvegicus	Metazoa	161	19.0	
P85261	P85261	1	Training	0	Actinidia chinensis var. chinensis	Plants	213	24.0	
P81295	P81295	1	Training	1	Juniperus ashei	Plants	225	26.0	
P01139	P01139	1	Training	2	Mus musculus	Metazoa	241	18.0	
P15242	P15242	1	Training	3	Rattus norvegicus	Metazoa	333	17.0	
P24259	P24259	1	Training	4	Sus scrofa	Metazoa	150	24.0	
O75629	O75629	1	Training	0	Homo sapiens	Metazoa	220	31.0	
Q6UXB2	Q6UXB2	1	Training	1	Homo sapiens	Metazoa	119	21.0	
P80964	P80964	1	Training	2	Sus scrofa	Metazoa	130	25.0	
Q9HE18	Q9HE18	1	Training	3	Talaromyces funiculosus	Fungi	353	18.0	
P23438	P23438	1	Training	4	Canis lupus familiaris	Metazoa	183	17.0	
Q6UWI4	Q6UWI4	1	Training	0	Homo sapiens	Metazoa	295	33.0	
Q6J4Q1	Q6J4Q1	1	Training	1	Apis mellifera	Metazoa	683	21.0	
A7L035	A7L035	1	Training	2	Chironex fleckeri	Metazoa	456	20.0	
Q9Y2I2	Q9Y2I2	1	Training	3	Homo sapiens	Metazoa	539	28.0	
P43652	P43652	1	Training	4	Homo sapiens	Metazoa	599	21.0	
P91745	P91745	1	Training	0	Lucilia cuprina	Metazoa	375	20.0	
Q25055	Q25055	1	Training	1	Holotrichia diomphalia	Metazoa	104	20.0	
P07141	P07141	1	Training	2	Mus musculus	Metazoa	552	32.0	
Q6UXH1	Q6UXH1	1	Training	3	Homo sapiens	Metazoa	353	24.0	
Q7ZZN8	Q7ZZN8	1	Training	4	Naja atra	Metazoa	238	19.0	
O95157	O95157	1	Training	0	Homo sapiens	Metazoa	252	22.0	
P0C8G6	P0C8G6	1	Training	1	Pomacea canaliculata	Metazoa	565	26.0	
Q9H1M4	Q9H1M4	1	Training	2	Homo sapiens	Metazoa	99	20.0	
Q09140	Q09140	1	Training	3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1448	18.0	
Q06K61	Q06K61	1	Training	4	Phlebotomus duboscqi	Metazoa	516	20.0	
Q01460	Q01460	1	Training	0	Rattus norvegicus	Metazoa	367	23.0	
Q9BX93	Q9BX93	1	Training	1	Homo sapiens	Metazoa	195	19.0	
P14770	P14770	1	Training	2	Homo sapiens	Metazoa	177	16.0	
Q9UIK5	Q9UIK5	1	Training	3	Homo sapiens	Metazoa	374	40.0	
P43497	P43497	1	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	92	20.0	
O70280	O70280	1	Training	0	Rattus norvegicus	Metazoa	212	26.0	
P20740	P20740	1	Training	1	Gallus gallus	Metazoa	1473	36.0	
O01949	O01949	1	Training	2	Aedes aegypti	Metazoa	273	19.0	
Q41015	Q41015	1	Training	3	Pisum sativum	Plants	217	26.0	
P12729	P12729	1	Training	4	Dictyostelium discoideum	Other	168	19.0	
P28039	P28039	1	Training	0	Homo sapiens	Metazoa	575	23.0	
P56201	P56201	1	Training	1	Oryctolagus cuniculus	Metazoa	797	24.0	
P45478	P45478	1	Training	2	Bos taurus	Metazoa	306	27.0	
Q6UW56	Q6UW56	1	Training	3	Homo sapiens	Metazoa	229	30.0	
P82290	P82290	1	Training	4	Anopheles gambiae	Metazoa	58	23.0	
Q96LA5	Q96LA5	1	Training	0	Homo sapiens	Metazoa	508	19.0	
Q13145	Q13145	1	Training	1	Homo sapiens	Metazoa	260	20.0	
O43852	O43852	1	Training	2	Homo sapiens	Metazoa	315	19.0	
P83234	P83234	1	Training	3	Ophiophagus hannah	Metazoa	190	20.0	
Q12127	Q12127	1	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133	18.0	
P19069	P19069	1	Training	0	Cavia porcellus	Metazoa	1742	19.0	
P12273	P12273	1	Training	1	Homo sapiens	Metazoa	146	28.0	
Q9BZR6	Q9BZR6	1	Training	2	Homo sapiens	Metazoa	473	26.0	
P01131	P01131	1	Training	3	Bos taurus	Metazoa	845	21.0	
P80370	P80370	1	Training	4	Homo sapiens	Metazoa	383	23.0	
Q9UAD0	Q9UAD0	1	Training	0	Olivierus martensii	Metazoa	59	24.0	
Q9H293	Q9H293	1	Training	1	Homo sapiens	Metazoa	177	32.0	
Q99972	Q99972	1	Training	2	Homo sapiens	Metazoa	504	32.0	
P06912	P06912	1	Training	3	Oryctolagus cuniculus	Metazoa	201	18.0	
P0DJI8	P0DJI8	1	Training	4	Homo sapiens	Metazoa	122	18.0	
P0DUS8	P0DUS8	1	Training	0	Doratifera vulnerans	Metazoa	59	17.0	
P18510	P18510	1	Training	1	Homo sapiens	Metazoa	177	25.0	
Q9H6E4	Q9H6E4	1	Training	2	Homo sapiens	Metazoa	229	22.0	
F1N5C8	F1N5C8	1	Training	3	Bos taurus	Metazoa	445	22.0	
Q7Z0T3	Q7Z0T3	1	Training	4	Aplysia californica	Metazoa	125	22.0	
Q4W1I9	Q4W1I9	1	Training	0	Zinnia elegans	Plants	321	30.0	
Q42502	Q42502	1	Training	1	Solanum tuberosum	Plants	386	23.0	
P86798	P86798	1	Training	2	Cupiennius salei	Metazoa	140	19.0	
F1NSM7	F1NSM7	1	Training	3	Gallus gallus	Metazoa	743	18.0	
P31096	P31096	1	Training	4	Bos taurus	Metazoa	278	16.0	
Q8MP06	Q8MP06	1	Training	0	Tyria jacobaeae	Metazoa	456	22.0	
P07981	P07981	1	Training	1	Trichoderma reesei	Fungi	459	22.0	
P11839	P11839	1	Training	2	Ovis aries	Metazoa	222	15.0	
Q9UKY0	Q9UKY0	1	Training	3	Homo sapiens	Metazoa	176	25.0	
Q7YZS9	Q7YZS9	1	Training	4	Conus virgo	Metazoa	67	26.0	
A0A0R4I951	A0A0R4I951	1	Training	0	Scolopendra dehaani	Metazoa	70	23.0	
Q92956	Q92956	1	Training	1	Homo sapiens	Metazoa	283	38.0	
Q08380	Q08380	1	Training	2	Homo sapiens	Metazoa	585	18.0	
D4A540	D4A540	1	Training	3	Rattus norvegicus	Metazoa	148	31.0	
P55000	P55000	1	Training	4	Homo sapiens	Metazoa	103	22.0	
Q5PP12	Q5PP12	1	Training	0	Arabidopsis thaliana	Plants	69	25.0	
O60844	O60844	1	Training	1	Homo sapiens	Metazoa	167	16.0	
P60568	P60568	1	Training	2	Homo sapiens	Metazoa	153	20.0	
P46165	P46165	1	Training	3	Bos taurus	Metazoa	62	22.0	
Q06KA5	Q06KA5	1	Training	4	Phlebotomus duboscqi	Metazoa	142	20.0	
Q8WUJ3	Q8WUJ3	1	Training	0	Homo sapiens	Metazoa	1361	30.0	
Q75N35	Q75N35	1	Training	1	Dioscorea polystachya	Plants	272	25.0	
P06681	P06681	1	Training	2	Homo sapiens	Metazoa	752	20.0	
C0HKG0	C0HKG0	1	Training	3	Clitoria ternatea	Plants	117	25.0	
Q96BF3	Q96BF3	1	Training	4	Homo sapiens	Metazoa	282	22.0	
D3GDK4	D3GDK4	1	Training	0	Cryptopygus antarcticus	Metazoa	225	15.0	
P11911	P11911	1	Training	1	Mus musculus	Metazoa	220	28.0	
Q13445	Q13445	1	Training	2	Homo sapiens	Metazoa	227	23.0	
Q29381	Q29381	1	Training	3	Sus scrofa	Metazoa	439	25.0	
Q99372	Q99372	1	Training	4	Rattus norvegicus	Metazoa	870	27.0	
P49767	P49767	1	Training	0	Homo sapiens	Metazoa	419	31.0	
O95813	O95813	1	Training	1	Homo sapiens	Metazoa	267	17.0	
Q90WJ7	Q90WJ7	1	Training	2	Takifugu pardalis	Metazoa	391	20.0	
P97535	P97535	1	Training	3	Rattus norvegicus	Metazoa	456	24.0	
B0XT72	B0XT72	1	Training	4	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	452	19.0	
P02654	P02654	1	Training	0	Homo sapiens	Metazoa	83	26.0	
Q27082	Q27082	1	Training	1	Tachypleus tridentatus	Metazoa	673	19.0	
Q9LRC8	Q9LRC8	1	Training	2	Scutellaria baicalensis	Plants	527	25.0	
Q9Y5U5	Q9Y5U5	1	Training	3	Homo sapiens	Metazoa	241	25.0	
Q8S2W4	Q8S2W4	1	Training	4	Arabidopsis thaliana	Plants	61	22.0	
Q9U8X3	Q9U8X3	1	Training	0	Tachypleus tridentatus	Metazoa	67	23.0	
P43077	P43077	1	Training	1	Candida albicans	Fungi	562	22.0	
Q9HBE5	Q9HBE5	1	Training	2	Homo sapiens	Metazoa	538	19.0	
Q16552	Q16552	1	Training	3	Homo sapiens	Metazoa	155	23.0	
P14209	P14209	1	Training	4	Homo sapiens	Metazoa	185	22.0	
O43866	O43866	1	Training	0	Homo sapiens	Metazoa	347	19.0	
Q86IV5	Q86IV5	1	Training	1	Dictyostelium discoideum	Other	258	21.0	
P0DSJ6	P0DSJ6	1	Training	2	Myrmecia gulosa	Metazoa	62	24.0	
Q76CA2	Q76CA2	1	Training	3	Monoplex parthenopeus	Metazoa	275	23.0	
Q8TDQ1	Q8TDQ1	1	Training	4	Homo sapiens	Metazoa	290	19.0	
Q9NR16	Q9NR16	1	Training	0	Homo sapiens	Metazoa	1453	40.0	
P01579	P01579	1	Training	1	Homo sapiens	Metazoa	166	23.0	
Q9Y6C2	Q9Y6C2	1	Training	2	Homo sapiens	Metazoa	1016	21.0	
P0DPU3	P0DPU3	1	Training	3	Scolopendra dehaani	Metazoa	577	25.0	
P00651	P00651	1	Training	4	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	130	26.0	
Q09022	Q09022	1	Training	0	Xenopus laevis	Metazoa	84	18.0	
Q15465	Q15465	1	Training	1	Homo sapiens	Metazoa	462	23.0	
Q86WA6	Q86WA6	1	Training	2	Homo sapiens	Metazoa	291	37.0	
Q92643	Q92643	1	Training	3	Homo sapiens	Metazoa	395	27.0	
Q9UHF4	Q9UHF4	1	Training	4	Homo sapiens	Metazoa	553	29.0	
D3Z9M3	D3Z9M3	1	Training	0	Rattus norvegicus	Metazoa	109	16.0	
Q9NJP7	Q9NJP7	1	Training	1	Olivierus martensii	Metazoa	56	28.0	
P09230	P09230	1	Training	2	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	454	15.0	
P10562	P10562	1	Training	3	Canavalia gladiata	Plants	445	26.0	
P19427	P19427	1	Training	4	Bos taurus	Metazoa	201	18.0	
Q15762	Q15762	1	Training	0	Homo sapiens	Metazoa	336	18.0	
P04552	P04552	1	Training	1	Haliotis rufescens	Metazoa	154	18.0	
P0C8G7	P0C8G7	1	Training	2	Pomacea canaliculata	Metazoa	286	30.0	
P83313	P83313	1	Training	3	Opistophthalmus carinatus	Metazoa	82	22.0	
Q96BY9	Q96BY9	1	Training	4	Homo sapiens	Metazoa	339	30.0	
P16150	P16150	1	Training	0	Homo sapiens	Metazoa	400	19.0	
P25116	P25116	1	Training	1	Homo sapiens	Metazoa	425	21.0	
P16382	P16382	1	Training	2	Mus musculus	Metazoa	810	25.0	
Q9NRM6	Q9NRM6	1	Training	3	Homo sapiens	Metazoa	502	17.0	
Q99MG7	Q99MG7	1	Training	4	Mesocricetus auratus	Metazoa	172	16.0	
P33559	P33559	1	Training	0	Aspergillus kawachii (strain NBRC 4308)	Fungi	327	25.0	
P58912	P58912	1	Training	1	Phyllodiscus semoni	Metazoa	488	21.0	
Q8WWA0	Q8WWA0	1	Training	2	Homo sapiens	Metazoa	313	18.0	
Q00293	Q00293	1	Training	3	Aspergillus tubingensis	Fungi	435	22.0	
I3LGZ3	I3LGZ3	1	Training	4	Sus scrofa	Metazoa	81	24.0	
P01174	P01174	1	Training	0	Rattus norvegicus	Metazoa	137	19.0	
Q14802	Q14802	1	Training	1	Homo sapiens	Metazoa	87	20.0	
P67875	P67875	1	Training	2	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	176	27.0	
P21128	P21128	1	Training	3	Homo sapiens	Metazoa	410	18.0	
Q9V496	Q9V496	1	Training	4	Drosophila melanogaster	Metazoa	3351	25.0	
P35053	P35053	1	Training	0	Rattus norvegicus	Metazoa	558	23.0	
P23389	P23389	1	Training	1	Bos taurus	Metazoa	646	20.0	
I1SB12	I1SB12	1	Training	2	Microdochium nivale	Fungi	495	22.0	
Q90W22	Q90W22	1	Training	3	Aquarana catesbeiana	Metazoa	114	24.0	
Q5KQS1	Q5KQS1	1	Training	4	Gloydius blomhoffii	Metazoa	324	19.0	
Q6UW88	Q6UW88	1	Training	0	Homo sapiens	Metazoa	154	22.0	
P81160	P81160	1	Training	1	Drosophila melanogaster	Metazoa	54	21.0	
O62644	O62644	1	Training	2	Bos taurus	Metazoa	151	18.0	
P23577	P23577	1	Training	3	Chlamydomonas reinhardtii	Plants	317	31.0	
A7VN15	A7VN15	1	Training	4	Protobothrops flavoviridis	Metazoa	79	19.0	
Q8T113	Q8T113	1	Training	0	Bombyx mori	Metazoa	227	17.0	
P16882	P16882	1	Training	1	Mus musculus	Metazoa	650	24.0	
P30659	P30659	1	Training	2	Lutzomyia longipalpis	Metazoa	86	23.0	
Q6ASY2	Q6ASY2	1	Training	3	Oryza sativa subsp. japonica	Plants	178	26.0	
G4ZHR2	G4ZHR2	1	Training	4	Phytophthora sojae (strain P6497)	Other	241	19.0	
Q9NBW4	Q9NBW4	1	Training	0	Theromyzon tessulatum	Metazoa	101	19.0	
C5P3X6	C5P3X6	1	Training	1	Coccidioides posadasii (strain C735)	Fungi	276	18.0	
P18658	P18658	1	Training	2	Macaca fascicularis	Metazoa	101	22.0	
Q95460	Q95460	1	Training	3	Homo sapiens	Metazoa	341	22.0	
H6U1I8	H6U1I8	1	Training	4	Tanacetum cinerariifolium	Plants	365	27.0	
Q6QD51	Q6QD51	1	Training	0	Rattus norvegicus	Metazoa	949	27.0	
P02230	P02230	1	Training	1	Chironomus thummi thummi	Metazoa	151	15.0	
P42292	P42292	1	Training	2	Gallus gallus	Metazoa	588	33.0	
Q8NBI3	Q8NBI3	1	Training	3	Homo sapiens	Metazoa	349	25.0	
Q71DJ5	Q71DJ5	1	Training	4	Arabidopsis thaliana	Plants	393	20.0	
P02810	P02810	1	Training	0	Homo sapiens	Metazoa	166	16.0	
Q96IQ7	Q96IQ7	1	Training	1	Homo sapiens	Metazoa	327	23.0	
Q8TAL6	Q8TAL6	1	Training	2	Homo sapiens	Metazoa	211	18.0	
P41543	P41543	1	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	476	22.0	
P11717	P11717	1	Training	4	Homo sapiens	Metazoa	2491	40.0	
P26842	P26842	1	Training	0	Homo sapiens	Metazoa	260	19.0	
O64411	O64411	1	Training	1	Zea mays	Plants	500	28.0	
P55955	P55955	1	Training	2	Caenorhabditis elegans	Metazoa	132	19.0	
P02808	P02808	1	Training	3	Homo sapiens	Metazoa	62	19.0	
P03998	P03998	1	Training	4	Limulus polyphemus	Metazoa	195	20.0	
P13611	P13611	1	Training	0	Homo sapiens	Metazoa	3396	20.0	
Q8T0Y7	Q8T0Y7	1	Training	1	Aplysia californica	Metazoa	141	26.0	
Q3L1D1	Q3L1D1	1	Training	2	Agaricus bisporus	Fungi	594	25.0	
Q6E0U4	Q6E0U4	1	Training	3	Homo sapiens	Metazoa	476	21.0	
Q95UE8	Q95UE8	1	Training	4	Lucilia cuprina	Metazoa	220	19.0	
Q9LJD9	Q9LJD9	1	Training	0	Arabidopsis thaliana	Plants	60	27.0	
Q9GU69	Q9GU69	1	Training	1	Lymnaea stagnalis	Metazoa	64	21.0	
P0DUS5	P0DUS5	1	Training	2	Doratifera vulnerans	Metazoa	57	24.0	
P86100	P86100	1	Training	3	Olivierus martensii	Metazoa	410	25.0	
O95711	O95711	1	Training	4	Homo sapiens	Metazoa	162	20.0	
Q9MYV1	Q9MYV1	1	Training	0	Canis lupus familiaris	Metazoa	128	25.0	
P18417	P18417	1	Training	1	Catharanthus roseus	Plants	352	31.0	
Q8WMP9	Q8WMP9	1	Training	2	Bos taurus	Metazoa	407	29.0	
Q9UKZ9	Q9UKZ9	1	Training	3	Homo sapiens	Metazoa	415	23.0	
P01721	P01721	1	Training	4	Homo sapiens	Metazoa	117	19.0	
P02662	P02662	1	Training	0	Bos taurus	Metazoa	214	15.0	
P11919	P11919	1	Training	1	Manduca sexta	Metazoa	88	26.0	
P35777	P35777	1	Training	2	Solenopsis invicta	Metazoa	137	19.0	
P26203	P26203	1	Training	3	Oryctolagus cuniculus	Metazoa	137	20.0	
P80356	P80356	1	Training	4	Avena sativa	Plants	220	19.0	
P05067	P05067	1	Training	0	Homo sapiens	Metazoa	770	17.0	
Q09117	Q09117	1	Training	1	Populus deltoides	Plants	312	24.0	
P05186	P05186	1	Training	2	Homo sapiens	Metazoa	524	17.0	
P30440	P30440	1	Training	3	Felis catus	Metazoa	109	17.0	
Q9D6Y1	Q9D6Y1	1	Training	4	Mus musculus	Metazoa	273	21.0	
Q02747	Q02747	1	Training	0	Homo sapiens	Metazoa	115	21.0	
Q07654	Q07654	1	Training	1	Homo sapiens	Metazoa	80	21.0	
P03971	P03971	1	Training	2	Homo sapiens	Metazoa	560	24.0	
Q27908	Q27908	1	Training	3	Pinctada fucata	Metazoa	447	17.0	
P13725	P13725	1	Training	4	Homo sapiens	Metazoa	252	25.0	
A9UGV5	A9UGV5	1	Training	0	Oryza sativa subsp. japonica	Plants	68	30.0	
Q7M418	Q7M418	1	Training	1	Oligobrachia mashikoi	Metazoa	163	16.0	
Q92563	Q92563	1	Training	2	Homo sapiens	Metazoa	424	22.0	
Q8MI01	Q8MI01	1	Training	3	Bos taurus	Metazoa	330	23.0	
P13598	P13598	1	Training	4	Homo sapiens	Metazoa	275	24.0	
Q8H8C7	Q8H8C7	1	Training	0	Oryza sativa subsp. japonica	Plants	356	28.0	
Q3Y5Z3	Q3Y5Z3	1	Training	1	Bos taurus	Metazoa	240	17.0	
P16611	P16611	1	Training	2	Sus scrofa	Metazoa	293	27.0	
Q8C1Q4	Q8C1Q4	1	Training	3	Mus musculus	Metazoa	291	21.0	
P10124	P10124	1	Training	4	Homo sapiens	Metazoa	158	27.0	
P22455	P22455	1	Training	0	Homo sapiens	Metazoa	802	21.0	
P61312	P61312	1	Training	1	Rattus norvegicus	Metazoa	146	25.0	
P14217	P14217	1	Training	2	Chlamydomonas reinhardtii	Plants	647	21.0	
Q9UBT3	Q9UBT3	1	Training	3	Homo sapiens	Metazoa	224	18.0	
Q9NS68	Q9NS68	1	Training	4	Homo sapiens	Metazoa	423	29.0	
O60602	O60602	1	Training	0	Homo sapiens	Metazoa	858	20.0	
Q02862	Q02862	1	Training	1	Mus musculus	Metazoa	184	15.0	
P01591	P01591	1	Training	2	Homo sapiens	Metazoa	159	22.0	
Q00193	Q00193	1	Training	3	Oryctolagus cuniculus	Metazoa	540	24.0	
