O74740	Accession
Q9VAM5	Q9VAM5
Q6Y685	Q6Y685
P59178	P59178
O93295	O93295
Q969V6	Q969V6
A9JRD8	A9JRD8
P03872	P03872
Q969Z3	Q969Z3
A2A884	A2A884
P22907	P22907
O95800	O95800
Q09847	Q09847
P97609	P97609
Q04964	Q04964
O94427	O94427
Q9FLT9	Q9FLT9
Q99733	Q99733
Q6AT90	Q6AT90
P48526	P48526
O13992	O13992
Q9XVI2	Q9XVI2
Q9HBL8	Q9HBL8
Q10274	Q10274
Q9URT4	Q9URT4
O74889	O74889
Q6P2Q9	Q6P2Q9
O95905	O95905
Q03468	Q03468
O74535	O74535
P92949	P92949
Q07897	Q07897
Q8TAM2	Q8TAM2
P19824	P19824
Q8WUX2	Q8WUX2
P46655	P46655
D3ZAW2	D3ZAW2
Q32SG5	Q32SG5
P87133	P87133
P09798	P09798
O74845	O74845
Q5JTC6	Q5JTC6
Q9NTX7	Q9NTX7
Q9ASV5	Q9ASV5
Q9H790	Q9H790
Q96T76	Q96T76
Q17635	Q17635
Q9CQK7	Q9CQK7
Q9XIB5	Q9XIB5
Q06632	Q06632
Q9XI19	Q9XI19
A3KPQ7	A3KPQ7
Q10B19	Q10B19
Q9SZ15	Q9SZ15
Q8CGU4	Q8CGU4
Q13315	Q13315
P13804	P13804
P40073	P40073
Q03533	Q03533
P34223	P34223
O49570	O49570
Q9ES52	Q9ES52
Q12166	Q12166
Q8NAV1	Q8NAV1
P38257	P38257
Q5AK51	Q5AK51
P51178	P51178
Q78ZR5	Q78ZR5
P34078	P34078
Q8N5I2	Q8N5I2
P04039	P04039
Q9XIP2	Q9XIP2
Q14203	Q14203
Q9V9V9	Q9V9V9
P50874	P50874
B9DGI8	B9DGI8
P00560	P00560
P39717	P39717
O60779	O60779
Q8N5A5	Q8N5A5
Q9LLC1	Q9LLC1
P40053	P40053
Q84TH4	Q84TH4
P07245	P07245
Q8N543	Q8N543
P35735	P35735
Q12359	Q12359
P25443	P25443
P16547	P16547
Q969T9	Q969T9
O23310	O23310
P10852	P10852
Q8TAE8	Q8TAE8
P09925	P09925
Q8NAG6	Q8NAG6
Q9NWU2	Q9NWU2
P87176	P87176
Q8VC04	Q8VC04
Q96I36	Q96I36
Q06010	Q06010
P12904	P12904
Q8K0E1	Q8K0E1
Q9USQ7	Q9USQ7
Q8N196	Q8N196
Q6ZRI6	Q6ZRI6
Q9QWV4	Q9QWV4
Q9VYX1	Q9VYX1
Q9Y5Q8	Q9Y5Q8
Q5H9S7	Q5H9S7
P10119	P10119
O74761	O74761
F4J8G7	F4J8G7
O01971	O01971
G5EGK5	G5EGK5
P49590	P49590
Q38931	Q38931
P17429	P17429
Q84JF5	Q84JF5
Q7K6X4	Q7K6X4
O95059	O95059
Q5A4H5	Q5A4H5
Q13015	Q13015
Q9FL44	Q9FL44
Q03954	Q03954
P11183	P11183
Q9NQV5	Q9NQV5
O13722	O13722
P53070	P53070
Q9SY69	Q9SY69
Q96D98	Q96D98
Q9C0C9	Q9C0C9
O74400	O74400
O14227	O14227
Q8BH07	Q8BH07
Q9UJ42	Q9UJ42
P24613	P24613
Q9FJW4	Q9FJW4
Q9W6V6	Q9W6V6
O75132	O75132
Q9H6Z4	Q9H6Z4
Q9HGK2	Q9HGK2
Q6PCM1	Q6PCM1
O00488	O00488
Q9UHV7	Q9UHV7
F4HZG9	F4HZG9
P18888	P18888
O95786	O95786
Q9Y5Y5	Q9Y5Y5
A0A120KVW2	A0A120KVW2
Q9UL49	Q9UL49
Q9LD43	Q9LD43
Q9FYS5	Q9FYS5
Q965H3	Q965H3
Q92366	Q92366
Q9LZD0	Q9LZD0
Q07807	Q07807
G2HK15	G2HK15
Q04868	Q04868
A9D2P7	A9D2P7
Q12802	Q12802
Q9DCX2	Q9DCX2
Q8IWT0	Q8IWT0
P40084	P40084
Q8WUU5	Q8WUU5
O94358	O94358
A1L020	A1L020
Q9BQ69	Q9BQ69
P42845	P42845
Q944H2	Q944H2
Q9VUF8	Q9VUF8
Q84LG2	Q84LG2
O43543	O43543
Q09683	Q09683
Q93008	Q93008
P47140	P47140
O74880	O74880
P53688	P53688
P04038	P04038
Q96EB1	Q96EB1
P53297	P53297
P80680	P80680
Q8TBK2	Q8TBK2
Q9SZI6	Q9SZI6
P46062	P46062
Q948R9	Q948R9
Q9HD42	Q9HD42
O74829	O74829
Q15847	Q15847
O43808	O43808
Q9H299	Q9H299
Q14061	Q14061
Q659A1	Q659A1
Q9H0R1	Q9H0R1
P46947	P46947
Q9FR37	Q9FR37
Q3UHU5	Q3UHU5
Q9Z2T2	Q9Z2T2
Q96T21	Q96T21
Q06835	Q06835
Q9BXW9	Q9BXW9
Q9NX52	Q9NX52
Q7S2C2	Q7S2C2
Q00613	Q00613
Q7XHR2	Q7XHR2
Q5PQZ7	Q5PQZ7
Q96SQ7	Q96SQ7
Q90ZS6	Q90ZS6
Q9SX99	Q9SX99
Q6NL34	Q6NL34
Q6UXN9	Q6UXN9
Q8WZK3	Q8WZK3
Q53F19	Q53F19
Q96MH2	Q96MH2
Q75WB5	Q75WB5
Q9ZST4	Q9ZST4
P38282	P38282
P25963	P25963
Q9BPY3	Q9BPY3
Q9UPX6	Q9UPX6
Q23064	Q23064
Q09M02	Q09M02
A0A2I0BUK1	A0A2I0BUK1
Q08509	Q08509
A1ZAW0	A1ZAW0
Q9FL26	Q9FL26
Q15257	Q15257
Q9LEM8	Q9LEM8
Q12040	Q12040
Q9NWV8	Q9NWV8
P82130	P82130
P32349	P32349
P0DM40	P0DM40
P54791	P54791
Q9ZR72	Q9ZR72
Q4V8P4	Q4V8P4
Q9LJ97	Q9LJ97
Q13685	Q13685
Q6P6C2	Q6P6C2
P78946	P78946
Q8TEX9	Q8TEX9
P16550	P16550
F4IDB2	F4IDB2
Q24174	Q24174
Q04894	Q04894
Q5BKX6	Q5BKX6
Q9BQS6	Q9BQS6
Q96326	Q96326
Q7M2P1	Q7M2P1
Q9UTH9	Q9UTH9
P48329	P48329
Q3EBC8	Q3EBC8
O43542	O43542
Q12277	Q12277
Q38897	Q38897
Q9H3K2	Q9H3K2
O14893	O14893
Q03188	Q03188
P39985	P39985
Q7K0D8	Q7K0D8
Q9T0H9	Q9T0H9
Q9ULJ3	Q9ULJ3
Q8WVC0	Q8WVC0
O94653	O94653
Q9UUI2	Q9UUI2
Q99M04	Q99M04
P28805	P28805
O74361	O74361
P43596	P43596
Q05779	Q05779
O62471	O62471
Q03557	Q03557
O14368	O14368
P53072	P53072
P35732	P35732
Q9HGP5	Q9HGP5
Q9UUH3	Q9UUH3
G4NBR8	G4NBR8
O15068	O15068
Q12405	Q12405
Q8WXI9	Q8WXI9
Q9SW31	Q9SW31
Q9UHV9	Q9UHV9
O60127	O60127
O63075	O63075
Q94IN5	Q94IN5
P38326	P38326
Q8NBN7	Q8NBN7
Q13535	Q13535
Q9CQR4	Q9CQR4
Q05648	Q05648
P53184	P53184
Q9SD80	Q9SD80
Q9CAF6	Q9CAF6
P38804	P38804
Q9LVI4	Q9LVI4
P93203	P93203
P53930	P53930
Q10PI9	Q10PI9
Q8WUA4	Q8WUA4
P38880	P38880
Q9Y6J8	Q9Y6J8
P32342	P32342
Q9SIW2	Q9SIW2
Q0PGJ6	Q0PGJ6
Q9C7I5	Q9C7I5
P13489	P13489
Q9CUU3	Q9CUU3
Q8IM30	Q8IM30
Q06608	Q06608
Q93W20	Q93W20
Q8RWG1	Q8RWG1
P53725	P53725
Q8RWG2	Q8RWG2
B3H5K9	B3H5K9
Q4WGS5	Q4WGS5
P32389	P32389
O35820	O35820
P28004	P28004
O75937	O75937
Q9FFK6	Q9FFK6
P50548	P50548
O42855	O42855
Q9H5J8	Q9H5J8
Q9SAH8	Q9SAH8
C4R8D7	C4R8D7
O15164	O15164
Q6TAS3	Q6TAS3
Q8CHP0	Q8CHP0
D4A4P4	D4A4P4
Q9C6T1	Q9C6T1
Q06184	Q06184
Q03385	Q03385
Q8BLG0	Q8BLG0
O43913	O43913
Q9QZ59	Q9QZ59
Q9H777	Q9H777
Q8GUT5	Q8GUT5
P09597	P09597
Q91XT6	Q91XT6
Q08231	Q08231
Q76NM6	Q76NM6
O43719	O43719
Q9Y7N1	Q9Y7N1
O75626	O75626
Q8W1E3	Q8W1E3
Q96SB8	Q96SB8
E1BUG7	E1BUG7
Q09146	Q09146
Q12068	Q12068
Q8W4E7	Q8W4E7
Q9VX12	Q9VX12
P23610	P23610
Q7T0L4	Q7T0L4
J4KNE4	J4KNE4
P35658	P35658
O42250	O42250
Q9VT04	Q9VT04
Q9SR77	Q9SR77
P09234	P09234
P87233	P87233
Q9I7U4	Q9I7U4
Q2Q5T5	Q2Q5T5
P12954	P12954
J9VIL4	J9VIL4
Q9H7B4	Q9H7B4
Q9SJH0	Q9SJH0
P01109	P01109
Q7L8L6	Q7L8L6
P09959	P09959
P38285	P38285
P40971	P40971
O60336	O60336
Q69383	Q69383
P14724	P14724
P40547	P40547
Q9FFF4	Q9FFF4
Q86TV6	Q86TV6
Q1ZXU0	Q1ZXU0
P15325	P15325
Q9FFJ8	Q9FFJ8
Q62920	Q62920
Q9T0A4	Q9T0A4
Q96HA7	Q96HA7
Q00IB6	Q00IB6
P70033	P70033
Q99383	Q99383
P36516	P36516
O75426	O75426
P49756	P49756
Q07381	Q07381
P43244	P43244
F4I1T7	F4I1T7
Q7TMF3	Q7TMF3
P59942	P59942
Q9NZD1	Q9NZD1
E3Q1H1	E3Q1H1
O94259	O94259
P49903	P49903
O74387	O74387
Q9VMD0	Q9VMD0
P06168	P06168
Q94545	Q94545
Q61127	Q61127
Q19555	Q19555
Q9H0G5	Q9H0G5
Q80VM7	Q80VM7
Q9LI74	Q9LI74
Q8TDB6	Q8TDB6
Q21227	Q21227
Q5Z8R1	Q5Z8R1
Q8VYF7	Q8VYF7
P91645	P91645
P53835	P53835
P03880	P03880
Q9NQX3	Q9NQX3
Q9H6U6	Q9H6U6
Q22355	Q22355
Q09463	Q09463
Q9H816	Q9H816
P56765	P56765
Q9C108	Q9C108
P87315	P87315
Q9Y222	Q9Y222
P25637	P25637
Q14289	Q14289
Q8TEC5	Q8TEC5
Q9TZ70	Q9TZ70
Q00312	Q00312
Q09406	Q09406
Q2V2P9	Q2V2P9
Q09228	Q09228
P53061	P53061
Q9Y3C5	Q9Y3C5
P46940	P46940
O94326	O94326
Q96JK9	Q96JK9
Q86NP2	Q86NP2
Q8RWH9	Q8RWH9
Q96WV2	Q96WV2
A0A8P0N4K0	A0A8P0N4K0
B9DFX7	B9DFX7
P36606	P36606
Q54PQ4	Q54PQ4
Q9CWR0	Q9CWR0
Q8C9B9	Q8C9B9
Q9P000	Q9P000
Q8BVN3	Q8BVN3
Q9HD33	Q9HD33
P24919	P24919
F4I3V6	F4I3V6
A8MQL1	A8MQL1
Q60698	Q60698
Q8IUR6	Q8IUR6
P87238	P87238
O13974	O13974
O15297	O15297
Q9H3M7	Q9H3M7
P11596	P11596
Q99MZ3	Q99MZ3
Q6TCH4	Q6TCH4
Q15424	Q15424
Q9NYP3	Q9NYP3
Q9HB75	Q9HB75
Q5BJX1	Q5BJX1
S8F0G9	S8F0G9
Q8BGY7	Q8BGY7
Q9QYB1	Q9QYB1
Q9C682	Q9C682
Q7S6M9	Q7S6M9
P42842	P42842
Q94AH1	Q94AH1
Q9JIL4	Q9JIL4
P47158	P47158
Q99PP2	Q99PP2
Q9Y2K1	Q9Y2K1
Q9Y6N1	Q9Y6N1
Q3SZ86	Q3SZ86
Q8NBT2	Q8NBT2
Q8MLZ3	Q8MLZ3
Q9XI00	Q9XI00
Q9VSK8	Q9VSK8
Q60547	Q60547
P46089	P46089
A6NFQ2	A6NFQ2
Q94JU3	Q94JU3
Q9EQR5	Q9EQR5
Q5C9I9	Q5C9I9
Q9LE82	Q9LE82
Q9XIN0	Q9XIN0
Q6P6N5	Q6P6N5
P0DW81	P0DW81
Q9FZD1	Q9FZD1
Q94AI4	Q94AI4
A0A1B0GUW7	A0A1B0GUW7
Q9BZR8	Q9BZR8
Q06315	Q06315
Q29455	Q29455
O74808	O74808
Q9QZB0	Q9QZB0
P32874	P32874
Q96MF7	Q96MF7
A0A5B9G902	A0A5B9G902
P34427	P34427
Q9STG9	Q9STG9
Q04601	Q04601
Q9SSE7	Q9SSE7
Q5ND34	Q5ND34
Q9NZE8	Q9NZE8
Q0DRX6	Q0DRX6
Q9Y224	Q9Y224
O94468	O94468
Q01718	Q01718
P22469	P22469
P33749	P33749
P34447	P34447
P39749	P39749
Q9S7B5	Q9S7B5
Q95749	Q95749
P82923	P82923
Q9UJX3	Q9UJX3
Q9U3V9	Q9U3V9
P35228	P35228
P47007	P47007
Q9BY77	Q9BY77
P39683	P39683
Q9Z1B8	Q9Z1B8
Q94F00	Q94F00
Q9Y5Z4	Q9Y5Z4
Q8BT35	Q8BT35
O14519	O14519
Q04347	Q04347
Q8C9X6	Q8C9X6
A0A0B5L781	A0A0B5L781
Q9W415	Q9W415
Q04110	Q04110
Q8LPQ5	Q8LPQ5
Q5SU73	Q5SU73
Q12139	Q12139
P54258	P54258
Q7XA78	Q7XA78
Q03799	Q03799
O65680	O65680
Q9NYF8	Q9NYF8
P43605	P43605
Q99P21	Q99P21
P40356	P40356
Q09690	Q09690
P57742	P57742
P61218	P61218
Q94AQ9	Q94AQ9
Q9UW82	Q9UW82
Q9LJG6	Q9LJG6
P32318	P32318
Q80Z37	Q80Z37
Q09687	Q09687
A0A2R8VHF7	A0A2R8VHF7
P58557	P58557
Q9H9J2	Q9H9J2
P87152	P87152
Q19345	Q19345
Q10262	Q10262
P40026	P40026
Q80WB5	Q80WB5
O13999	O13999
P0CU09	P0CU09
Q15649	Q15649
Q9VQB6	Q9VQB6
Q9LMR3	Q9LMR3
Q9DCR4	Q9DCR4
O75943	O75943
Q96Q11	Q96Q11
Q9SCY2	Q9SCY2
P53895	P53895
Q9NYH9	Q9NYH9
Q06497	Q06497
Q9SJZ6	Q9SJZ6
A0AV96	A0AV96
Q94A68	Q94A68
Q84JH7	Q84JH7
Q337M4	Q337M4
O76054	O76054
C4QM85	C4QM85
Q9SR43	Q9SR43
O60921	O60921
P56558	P56558
Q9Y3C4	Q9Y3C4
P53885	P53885
P17341	P17341
P87227	P87227
P22354	P22354
P38283	P38283
P53076	P53076
Q6NLQ7	Q6NLQ7
Q14154	Q14154
Q9FIE3	Q9FIE3
P29147	P29147
C6SZ50	C6SZ50
P38936	P38936
Q9BT43	Q9BT43
Q9SIM9	Q9SIM9
Q12341	Q12341
P93286	P93286
Q550D5	Q550D5
Q9HAJ7	Q9HAJ7
P0DN34	P0DN34
Q11107	Q11107
P61221	P61221
A0MES8	A0MES8
Q8N7A1	Q8N7A1
P45968	P45968
Q9C5G0	Q9C5G0
Q12334	Q12334
Q12996	Q12996
Q5T4T1	Q5T4T1
O82264	O82264
P08657	P08657
Q6X4W1	Q6X4W1
Q02336	Q02336
P36168	P36168
P53127	P53127
O02751	O02751
Q9H840	Q9H840
Q4G0N4	Q4G0N4
Q7T2T1	Q7T2T1
Q05050	Q05050
Q9Y7R3	Q9Y7R3
O35671	O35671
O76039	O76039
O15091	O15091
P21801	P21801
Q8VYR5	Q8VYR5
Q9CQ75	Q9CQ75
P40530	P40530
Q96ST8	Q96ST8
Q7TSZ8	Q7TSZ8
P40154	P40154
Q9SMX1	Q9SMX1
P25332	P25332
Q12504	Q12504
A0PK05	A0PK05
P34341	P34341
Q9Y2L1	Q9Y2L1
Q12343	Q12343
Q96P16	Q96P16
Q8I266	Q8I266
P0CW70	P0CW70
P19387	P19387
Q9USV1	Q9USV1
P53251	P53251
O43521	O43521
P37299	P37299
Q08932	Q08932
A0A7U2MSD6	A0A7U2MSD6
P97376	P97376
Q07799	Q07799
Q01981	Q01981
B9DHG0	B9DHG0
P08703	P08703
Q9CAC5	Q9CAC5
Q9NUX5	Q9NUX5
Q1K7L7	Q1K7L7
O75486	O75486
P12686	P12686
Q6NKS4	Q6NKS4
Q6ZQX7	Q6ZQX7
Q6PR54	Q6PR54
O18412	O18412
P36144	P36144
Q9QYW0	Q9QYW0
Q5TAQ9	Q5TAQ9
O43008	O43008
Q3UZP0	Q3UZP0
Q96FC9	Q96FC9
O82645	O82645
O60158	O60158
P38826	P38826
Q9V4P1	Q9V4P1
Q9HD15	Q9HD15
Q8R010	Q8R010
Q9W1R5	Q9W1R5
Q8L7E5	Q8L7E5
Q9NR48	Q9NR48
Q9UBC0	Q9UBC0
Q9M199	Q9M199
Q91X44	Q91X44
Q6NV75	Q6NV75
Q12481	Q12481
A9Y0K8	A9Y0K8
Q8NFJ9	Q8NFJ9
O13539	O13539
F8VPN2	F8VPN2
Q7Z6G8	Q7Z6G8
Q96M32	Q96M32
Q9P804	Q9P804
Q8N5N7	Q8N5N7
Q5T890	Q5T890
Q8K0D5	Q8K0D5
O96033	O96033
P41247	P41247
J4UQC2	J4UQC2
Q96330	Q96330
Q3U5Q7	Q3U5Q7
Q03824	Q03824
Q8N2Z9	Q8N2Z9
Q7Z5K2	Q7Z5K2
Q9CZ42	Q9CZ42
O62203	O62203
Q9LXW7	Q9LXW7
P38927	P38927
Q7L0X2	Q7L0X2
P0C7T6	P0C7T6
F4HVG8	F4HVG8
Q5FWF5	Q5FWF5
Q06598	Q06598
Q6W0C5	Q6W0C5
O22160	O22160
Q9SD11	Q9SD11
P21306	P21306
Q99LD8	Q99LD8
P20398	P20398
P09368	P09368
P59382	P59382
Q17604	Q17604
Q9H410	Q9H410
A0A7J6K629	A0A7J6K629
Q9M390	Q9M390
P15505	P15505
Q1MTN9	Q1MTN9
Q27607	Q27607
Q6NKX1	Q6NKX1
P32259	P32259
Q9UU99	Q9UU99
P39707	P39707
P36078	P36078
O14313	O14313
Q9P267	Q9P267
Q7SAJ1	Q7SAJ1
Q8I8U7	Q8I8U7
O14291	O14291
P61460	P61460
P82281	P82281
Q80TR8	Q80TR8
Q75N03	Q75N03
P47167	P47167
P29372	P29372
Q02888	Q02888
Q94FY8	Q94FY8
Q94K73	Q94K73
Q9CZP5	Q9CZP5
Q12080	Q12080
O55236	O55236
Q16774	Q16774
Q9FY74	Q9FY74
O74485	O74485
Q9ERQ3	Q9ERQ3
P54254	P54254
P53869	P53869
Q32PI6	Q32PI6
Q7JM44	Q7JM44
P38909	P38909
Q9USR9	Q9USR9
O95704	O95704
P40057	P40057
Q62769	Q62769
P0DKH5	P0DKH5
Q1MTR2	Q1MTR2
P60709	P60709
Q9LK76	Q9LK76
P17442	P17442
Q96FF9	Q96FF9
Q56Y52	Q56Y52
Q9FZ96	Q9FZ96
P36629	P36629
Q02794	Q02794
P19889	P19889
Q96AQ6	Q96AQ6
O94875	O94875
Q86U44	Q86U44
Q9Y7L4	Q9Y7L4
P53327	P53327
P38265	P38265
Q8K2C6	Q8K2C6
Q8IWV1	Q8IWV1
Q9VR19	Q9VR19
Q20024	Q20024
Q6KCD5	Q6KCD5
Q9Z0P4	Q9Z0P4
Q925F4	Q925F4
A0A8I6ASZ5	A0A8I6ASZ5
F4ISV6	F4ISV6
Q9ERS2	Q9ERS2
Q13889	Q13889
H0YL14	H0YL14
Q96BQ5	Q96BQ5
Q94JV5	Q94JV5
A0A445AGS0	A0A445AGS0
Q9VAH9	Q9VAH9
P70278	P70278
P13280	P13280
F1NPG5	F1NPG5
P98192	P98192
Q8W487	Q8W487
C9JLW8	C9JLW8
F4IDJ0	F4IDJ0
Q15120	Q15120
P22091	P22091
P57081	P57081
P13498	P13498
P22148	P22148
Q9SGH4	Q9SGH4
P36038	P36038
Q8GZ87	Q8GZ87
Q9D495	Q9D495
Q91YE5	Q91YE5
P80002	P80002
Q9SSE9	Q9SSE9
Q06639	Q06639
Q96IZ0	Q96IZ0
Q6GYP7	Q6GYP7
Q9R269	Q9R269
Q12161	Q12161
P47127	P47127
Q0WPF2	Q0WPF2
Q9QXK9	Q9QXK9
Q9GZR1	Q9GZR1
Q99177	Q99177
Q67Y99	Q67Y99
Q9I9N6	Q9I9N6
P40380	P40380
Q562E2	Q562E2
Q9H4B6	Q9H4B6
P16050	P16050
Q07335	Q07335
P25348	P25348
Q12406	Q12406
Q93V85	Q93V85
Q22703	Q22703
Q949Q5	Q949Q5
Q9SWW6	Q9SWW6
Q5T5X7	Q5T5X7
Q53QV2	Q53QV2
Q9H1U9	Q9H1U9
Q9MAM4	Q9MAM4
Q68DX3	Q68DX3
Q9P7P1	Q9P7P1
Q9S850	Q9S850
Q8N5Y2	Q8N5Y2
Q9BUH6	Q9BUH6
Q570R7	Q570R7
P40923	P40923
P79937	P79937
O55035	O55035
P32521	P32521
A0JNW5	A0JNW5
Q9NX55	Q9NX55
Q9UFC0	Q9UFC0
P68104	P68104
P50077	P50077
Q8N6F7	Q8N6F7
Q68DK7	Q68DK7
A0A120KVR8	A0A120KVR8
P39988	P39988
P40316	P40316
Q9VW47	Q9VW47
Q8TEQ6	Q8TEQ6
F4JP43	F4JP43
P53171	P53171
P62241	P62241
O13702	O13702
Q9VZL5	Q9VZL5
Q8WWM9	Q8WWM9
Q9VMA3	Q9VMA3
Q96HW7	Q96HW7
P56780	P56780
P38207	P38207
Q96B26	Q96B26
Q5BPF3	Q5BPF3
Q9QZU4	Q9QZU4
Q96BI1	Q96BI1
Q9Y315	Q9Y315
Q02038	Q02038
Q9Y388	Q9Y388
Q9UGC7	Q9UGC7
P07273	P07273
Q61471	Q61471
Q9H467	Q9H467
P0DOY1	P0DOY1
Q9MBA1	Q9MBA1
Q9M0S5	Q9M0S5
O70302	O70302
Q96PM9	Q96PM9
P34784	P34784
P42284	P42284
Q14157	Q14157
Q84JW1	Q84JW1
B1AWL2	B1AWL2
Q84W56	Q84W56
Q94BT9	Q94BT9
Q80T22	Q80T22
Q9SIG8	Q9SIG8
P32591	P32591
Q04613	Q04613
Q02932	Q02932
Q9AT00	Q9AT00
O43687	O43687
Q0J995	Q0J995
O95751	O95751
Q9H9L7	Q9H9L7
P52656	P52656
P15315	P15315
Q3E7A4	Q3E7A4
Q03465	Q03465
Q15014	Q15014
Q9JKL5	Q9JKL5
F4HQA1	F4HQA1
Q14973	Q14973
M9MRD1	M9MRD1
Q96WW2	Q96WW2
O13612	O13612
Q9JIR4	Q9JIR4
P52566	P52566
Q9C115	Q9C115
Q12098	Q12098
O65370	O65370
P36088	P36088
Q06011	Q06011
P38302	P38302
Q99417	Q99417
Q7RYW8	Q7RYW8
Q9VLD6	Q9VLD6
Q91YI1	Q91YI1
Q38885	Q38885
Q64471	Q64471
Q9VHI4	Q9VHI4
P15173	P15173
Q7L0Y3	Q7L0Y3
Q27368	Q27368
Q6NVU6	Q6NVU6
Q8TD19	Q8TD19
Q7TP54	Q7TP54
P43569	P43569
D5LXJ0	D5LXJ0
Q45VK7	Q45VK7
O88492	O88492
Q06682	Q06682
P21375	P21375
Q5YDB5	Q5YDB5
P43618	P43618
P14907	P14907
Q9SAC6	Q9SAC6
Q9D8F1	Q9D8F1
B4DJY2	B4DJY2
P52739	P52739
Q06091	Q06091
O75920	O75920
O13577	O13577
Q7KTX8	Q7KTX8
P07768	P07768
P04080	P04080
F4IMQ0	F4IMQ0
Q8TEK3	Q8TEK3
Q8H1E5	Q8H1E5
Q02793	Q02793
Q05892	Q05892
P50536	P50536
Q8W234	Q8W234
