O74740	accession	organism	kingdom	protein_length	cleavage_position	tm_helix_first_90
Q9SKT0	Q9SKT0	Arabidopsis thaliana	Plants	300		False
O74381	O74381	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	467		False
Q9USX3	Q9USX3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	406		False
Q9FNY3	Q9FNY3	Arabidopsis thaliana	Plants	292		False
Q96KP4	Q96KP4	Homo sapiens	Metazoa	475		False
Q03112	Q03112	Homo sapiens	Metazoa	1230		False
Q0QWG9	Q0QWG9	Mus musculus	Metazoa	1203		False
Q86WR0	Q86WR0	Homo sapiens	Metazoa	208		True
P82925	P82925	Bos taurus	Metazoa	386		False
Q9CAF4	Q9CAF4	Arabidopsis thaliana	Plants	1309		False
Q6K271	Q6K271	Oryza sativa subsp. japonica	Plants	738		False
Q09293	Q09293	Caenorhabditis elegans	Metazoa	367		False
Q9UUH6	Q9UUH6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	188		False
Q02040	Q02040	Homo sapiens	Metazoa	695		False
Q8TAX9	Q8TAX9	Homo sapiens	Metazoa	416		True
A6NDU8	A6NDU8	Homo sapiens	Metazoa	294		False
Q949W6	Q949W6	Arabidopsis thaliana	Plants	485		False
O00463	O00463	Homo sapiens	Metazoa	557		False
Q8IBN8	Q8IBN8	Plasmodium falciparum (isolate 3D7)	Other	899		False
Q01292	Q01292	Spinacia oleracea	Plants	595		False
O60044	O60044	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	454		False
P42951	P42951	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	607		False
P40155	P40155	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	199		True
Q8H1D9	Q8H1D9	Arabidopsis thaliana	Plants	605		False
Q9BU61	Q9BU61	Homo sapiens	Metazoa	184		False
Q08923	Q08923	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	506		False
Q9UNQ2	Q9UNQ2	Homo sapiens	Metazoa	313		False
Q8IUH3	Q8IUH3	Homo sapiens	Metazoa	476		False
Q5W0Q7	Q5W0Q7	Homo sapiens	Metazoa	1092		False
Q08963	Q08963	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238		False
Q95QA6	Q95QA6	Caenorhabditis elegans	Metazoa	663		False
Q56VL3	Q56VL3	Homo sapiens	Metazoa	154		False
Q940U6	Q940U6	Arabidopsis thaliana	Plants	316		False
O14188	O14188	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1489		False
Q05728	Q05728	Arabidopsis thaliana	Plants	389		False
Q9VAM5	Q9VAM5	Drosophila melanogaster	Metazoa	872		False
Q6Y685	Q6Y685	Mus musculus	Metazoa	774		False
P59178	P59178	Mus musculus	Metazoa	703		False
O93295	O93295	Gallus gallus	Metazoa	493		True
Q969V6	Q969V6	Homo sapiens	Metazoa	931		False
A9JRD8	A9JRD8	Danio rerio	Metazoa	540		False
P03872	P03872	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	296		False
Q969Z3	Q969Z3	Homo sapiens	Metazoa	335		False
A2A884	A2A884	Mus musculus	Metazoa	2348		False
P22907	P22907	Mus musculus	Metazoa	361		False
O95800	O95800	Homo sapiens	Metazoa	540		True
Q09847	Q09847	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1325		False
P97609	P97609	Rattus norvegicus	Metazoa	1181		False
Q04964	Q04964	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	104		False
O94427	O94427	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	424		False
Q9FLT9	Q9FLT9	Arabidopsis thaliana	Plants	259		True
Q99733	Q99733	Homo sapiens	Metazoa	375		False
Q6AT90	Q6AT90	Oryza sativa subsp. japonica	Plants	505		False
P48526	P48526	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1002		False
O13992	O13992	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	965		False
Q9XVI2	Q9XVI2	Caenorhabditis elegans	Metazoa	811		False
Q9HBL8	Q9HBL8	Homo sapiens	Metazoa	299		False
Q10274	Q10274	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	390		False
Q9URT4	Q9URT4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	697		False
O74889	O74889	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1024		False
Q6P2Q9	Q6P2Q9	Homo sapiens	Metazoa	2335		False
O95905	O95905	Homo sapiens	Metazoa	644		False
Q03468	Q03468	Homo sapiens	Metazoa	1493		False
O74535	O74535	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	710		False
P92949	P92949	Arabidopsis thaliana	Plants	725		True
Q07897	Q07897	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	291		False
Q8TAM2	Q8TAM2	Homo sapiens	Metazoa	541		False
P19824	P19824	Chlamydomonas reinhardtii	Plants	375		False
Q8WUX2	Q8WUX2	Homo sapiens	Metazoa	184		False
P46655	P46655	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	708		False
D3ZAW2	D3ZAW2	Rattus norvegicus	Metazoa	406		True
Q32SG5	Q32SG5	Zea mays	Plants	616		False
P87133	P87133	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	121		False
P09798	P09798	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	840		False
O74845	O74845	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	564		False
Q5JTC6	Q5JTC6	Homo sapiens	Metazoa	1135		False
Q9NTX7	Q9NTX7	Homo sapiens	Metazoa	359		False
Q9ASV5	Q9ASV5	Arabidopsis thaliana	Plants	650		True
Q9H790	Q9H790	Homo sapiens	Metazoa	373		False
Q96T76	Q96T76	Homo sapiens	Metazoa	1030		False
Q17635	Q17635	Caenorhabditis elegans	Metazoa	590		False
Q9CQK7	Q9CQK7	Mus musculus	Metazoa	243		False
Q9XIB5	Q9XIB5	Arabidopsis thaliana	Plants	226		False
Q06632	Q06632	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1357		False
Q9XI19	Q9XI19	Arabidopsis thaliana	Plants	328		False
A3KPQ7	A3KPQ7	Danio rerio	Metazoa	1378		True
Q10B19	Q10B19	Oryza sativa subsp. japonica	Plants	250		False
Q9SZ15	Q9SZ15	Arabidopsis thaliana	Plants	421		False
Q8CGU4	Q8CGU4	Rattus norvegicus	Metazoa	1186		False
Q13315	Q13315	Homo sapiens	Metazoa	3056		False
P13804	P13804	Homo sapiens	Metazoa	333		False
P40073	P40073	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	367		True
Q03533	Q03533	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	586		False
P34223	P34223	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	423		False
O49570	O49570	Arabidopsis thaliana	Plants	650		False
Q9ES52	Q9ES52	Mus musculus	Metazoa	1191		False
Q12166	Q12166	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	604		False
Q8NAV1	Q8NAV1	Homo sapiens	Metazoa	312		False
P38257	P38257	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	691		False
Q5AK51	Q5AK51	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	714		False
P51178	P51178	Homo sapiens	Metazoa	756		False
Q78ZR5	Q78ZR5	Rattus norvegicus	Metazoa	73		False
P34078	P34078	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	463		False
Q8N5I2	Q8N5I2	Homo sapiens	Metazoa	433		False
P04039	P04039	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	78		True
Q9XIP2	Q9XIP2	Arabidopsis thaliana	Plants	505		False
Q14203	Q14203	Homo sapiens	Metazoa	1278		False
Q9V9V9	Q9V9V9	Drosophila melanogaster	Metazoa	200		False
P50874	P50874	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	479		False
B9DGI8	B9DGI8	Arabidopsis thaliana	Plants	314		False
P00560	P00560	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	416		False
P39717	P39717	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	880		False
O60779	O60779	Homo sapiens	Metazoa	497		True
Q8N5A5	Q8N5A5	Homo sapiens	Metazoa	531		False
Q9LLC1	Q9LLC1	Arabidopsis thaliana	Plants	255		False
P40053	P40053	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	627		False
Q84TH4	Q84TH4	Arabidopsis thaliana	Plants	382		False
P07245	P07245	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	946		False
Q8N543	Q8N543	Homo sapiens	Metazoa	542		False
P35735	P35735	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	353		True
Q12359	Q12359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	275		True
P25443	P25443	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	254		False
P16547	P16547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	393		True
Q969T9	Q969T9	Homo sapiens	Metazoa	261		False
O23310	O23310	Arabidopsis thaliana	Plants	161		False
P10852	P10852	Mus musculus	Metazoa	526		True
Q8TAE8	Q8TAE8	Homo sapiens	Metazoa	222		False
P09925	P09925	Mus musculus	Metazoa	306		True
Q8NAG6	Q8NAG6	Homo sapiens	Metazoa	615		False
Q9NWU2	Q9NWU2	Homo sapiens	Metazoa	228		False
P87176	P87176	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	269		False
Q8VC04	Q8VC04	Mus musculus	Metazoa	261		False
Q96I36	Q96I36	Homo sapiens	Metazoa	57		True
Q06010	Q06010	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1027		False
P12904	P12904	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	322		False
Q8K0E1	Q8K0E1	Mus musculus	Metazoa	283		False
Q9USQ7	Q9USQ7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	606		False
Q8N196	Q8N196	Homo sapiens	Metazoa	739		False
Q6ZRI6	Q6ZRI6	Homo sapiens	Metazoa	1047		False
Q9QWV4	Q9QWV4	Mus musculus	Metazoa	267		False
Q9VYX1	Q9VYX1	Drosophila melanogaster	Metazoa	101		False
Q9Y5Q8	Q9Y5Q8	Homo sapiens	Metazoa	519		False
Q5H9S7	Q5H9S7	Homo sapiens	Metazoa	520		False
P10119	P10119	Oryctolagus cuniculus	Metazoa	50		False
O74761	O74761	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	459		False
F4J8G7	F4J8G7	Arabidopsis thaliana	Plants	2138		False
O01971	O01971	Caenorhabditis elegans	Metazoa	166		False
G5EGK5	G5EGK5	Caenorhabditis elegans	Metazoa	928		False
P49590	P49590	Homo sapiens	Metazoa	506		False
Q38931	Q38931	Arabidopsis thaliana	Plants	551		False
P17429	P17429	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	876		False
Q84JF5	Q84JF5	Arabidopsis thaliana	Plants	483		False
Q7K6X4	Q7K6X4	Caenorhabditis elegans	Metazoa	497		False
O95059	O95059	Homo sapiens	Metazoa	124		False
Q5A4H5	Q5A4H5	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	731		False
Q13015	Q13015	Homo sapiens	Metazoa	90		False
Q9FL44	Q9FL44	Arabidopsis thaliana	Plants	235		False
Q03954	Q03954	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	165		False
P11183	P11183	Gallus gallus	Metazoa	164		False
Q9NQV5	Q9NQV5	Homo sapiens	Metazoa	511		False
O13722	O13722	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	450		False
P53070	P53070	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	669		False
Q9SY69	Q9SY69	Arabidopsis thaliana	Plants	913		False
Q96D98	Q96D98	Homo sapiens	Metazoa	161		False
Q9C0C9	Q9C0C9	Homo sapiens	Metazoa	1292		False
O74400	O74400	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	674		False
O14227	O14227	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1215		False
Q8BH07	Q8BH07	Mus musculus	Metazoa	226		False
Q9UJ42	Q9UJ42	Homo sapiens	Metazoa	338		True
P24613	P24613	Spinacia oleracea	Plants	256		False
Q9FJW4	Q9FJW4	Arabidopsis thaliana	Plants	154		False
Q9W6V6	Q9W6V6	Gallus gallus	Metazoa	2705		False
O75132	O75132	Homo sapiens	Metazoa	1171		False
Q9H6Z4	Q9H6Z4	Homo sapiens	Metazoa	567		False
Q9HGK2	Q9HGK2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	216		False
Q6PCM1	Q6PCM1	Mus musculus	Metazoa	1323		False
O00488	O00488	Homo sapiens	Metazoa	134		False
Q9UHV7	Q9UHV7	Homo sapiens	Metazoa	2174		False
F4HZG9	F4HZG9	Arabidopsis thaliana	Plants	493		False
P18888	P18888	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	332		False
O95786	O95786	Homo sapiens	Metazoa	925		False
Q9Y5Y5	Q9Y5Y5	Homo sapiens	Metazoa	336		True
A0A120KVW2	A0A120KVW2	Trypanosoma brucei brucei	Other	1136		False
Q9UL49	Q9UL49	Homo sapiens	Metazoa	500		False
Q9LD43	Q9LD43	Arabidopsis thaliana	Plants	769		False
Q9FYS5	Q9FYS5	Zea mays	Plants	193		False
Q965H3	Q965H3	Caenorhabditis elegans	Metazoa	735		False
Q92366	Q92366	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	61		False
Q9LZD0	Q9LZD0	Arabidopsis thaliana	Plants	599		False
Q07807	Q07807	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	879		False
G2HK15	G2HK15	Caenorhabditis elegans	Metazoa	367		False
Q04868	Q04868	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	273		False
A9D2P7	A9D2P7	Caenorhabditis elegans	Metazoa	672		False
Q12802	Q12802	Homo sapiens	Metazoa	2813		False
Q9DCX2	Q9DCX2	Mus musculus	Metazoa	161		False
Q8IWT0	Q8IWT0	Homo sapiens	Metazoa	167		False
P40084	P40084	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	226		False
Q8WUU5	Q8WUU5	Homo sapiens	Metazoa	269		False
O94358	O94358	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	845		False
A1L020	A1L020	Homo sapiens	Metazoa	520		False
Q9BQ69	Q9BQ69	Homo sapiens	Metazoa	325		False
P42845	P42845	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420		False
Q944H2	Q944H2	Arabidopsis thaliana	Plants	391		False
Q9VUF8	Q9VUF8	Drosophila melanogaster	Metazoa	540		False
Q84LG2	Q84LG2	Arabidopsis thaliana	Plants	389		False
O43543	O43543	Homo sapiens	Metazoa	280		False
Q09683	Q09683	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	649		False
Q93008	Q93008	Homo sapiens	Metazoa	2554		False
P47140	P47140	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	327		False
O74880	O74880	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	360		False
P53688	P53688	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	370		False
P04038	P04038	Bos taurus	Metazoa	74		True
Q96EB1	Q96EB1	Homo sapiens	Metazoa	424		False
