O74740	accession	Label	Set	CV_Fold	organism	kingdom	protein_length	cleavage_position	tm_helix_first_90
Q53AQ4	Q53AQ4	0	Training	3	Rattus norvegicus	Metazoa	245		True
Q9HB21	Q9HB21	0	Training	4	Homo sapiens	Metazoa	404		False
P33751	P33751	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	242		False
Q8LAC4	Q8LAC4	0	Training	1	Arabidopsis thaliana	Plants	322		False
O74560	O74560	0	Training	2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	636		False
P40356	P40356	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	397		False
Q86TU7	Q86TU7	0	Training	4	Homo sapiens	Metazoa	594		False
Q92688	Q92688	0	Training	0	Homo sapiens	Metazoa	251		False
Q584U2	Q584U2	0	Training	1	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	267		False
Q99LY9	Q99LY9	0	Training	2	Mus musculus	Metazoa	106		False
Q5HZG9	Q5HZG9	0	Training	3	Mus musculus	Metazoa	337		False
P38325	P38325	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	134		True
Q08282	Q08282	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	695		False
Q9VEA5	Q9VEA5	0	Training	1	Drosophila melanogaster	Metazoa	139		False
Q8RWG1	Q8RWG1	0	Training	2	Arabidopsis thaliana	Plants	682		False
Q3MJK5	Q3MJK5	0	Training	3	Rattus norvegicus	Metazoa	1484		False
Q10204	Q10204	0	Training	4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	250		False
Q9Z0Y7	Q9Z0Y7	0	Training	0	Mus musculus	Metazoa	1216		False
Q9Y584	Q9Y584	0	Training	1	Homo sapiens	Metazoa	194		True
Q96SQ7	Q96SQ7	0	Training	2	Homo sapiens	Metazoa	321		False
O54697	O54697	0	Training	3	Rattus norvegicus	Metazoa	745		True
Q9HB58	Q9HB58	0	Training	4	Homo sapiens	Metazoa	689		False
Q9H6E5	Q9H6E5	0	Training	0	Homo sapiens	Metazoa	874		False
G5EDM7	G5EDM7	0	Training	1	Caenorhabditis elegans	Metazoa	627		False
Q9XII1	Q9XII1	0	Training	2	Arabidopsis thaliana	Plants	307		False
O13859	O13859	0	Training	3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	285		False
P21757	P21757	0	Training	4	Homo sapiens	Metazoa	451		True
Q9Y5L0	Q9Y5L0	0	Training	0	Homo sapiens	Metazoa	923		False
Q8AYS7	Q8AYS7	0	Training	1	Gallus gallus	Metazoa	753		False
P18847	P18847	0	Training	2	Homo sapiens	Metazoa	181		False
Q9N425	Q9N425	0	Training	3	Caenorhabditis elegans	Metazoa	501		False
Q9NVU0	Q9NVU0	0	Training	4	Homo sapiens	Metazoa	708		False
Q93560	Q93560	0	Training	0	Caenorhabditis elegans	Metazoa	817		False
Q9NRP2	Q9NRP2	0	Training	1	Homo sapiens	Metazoa	79		False
Q9P2D0	Q9P2D0	0	Training	2	Homo sapiens	Metazoa	1353		False
Q9UBS8	Q9UBS8	0	Training	3	Homo sapiens	Metazoa	474		False
O13978	O13978	0	Training	4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	184		False
G5DBJ0	G5DBJ0	0	Training	0	Nicotiana benthamiana	Plants	252		False
Q07684	Q07684	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	458		False
C6KST8	C6KST8	0	Training	2	Plasmodium falciparum (isolate 3D7)	Other	358		True
Q9Y448	Q9Y448	0	Training	3	Homo sapiens	Metazoa	316		False
Q03372	Q03372	0	Training	4	Drosophila melanogaster	Metazoa	515		False
Q09902	Q09902	0	Training	0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	85		False
P43606	P43606	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	678		False
Q9C9F5	Q9C9F5	0	Training	2	Arabidopsis thaliana	Plants	308		False
Q91XW8	Q91XW8	0	Training	3	Mus musculus	Metazoa	327		False
Q8LIY8	Q8LIY8	0	Training	4	Oryza sativa subsp. japonica	Plants	569		False
G4SLH0	G4SLH0	0	Training	0	Caenorhabditis elegans	Metazoa	18562		False
O20029	O20029	0	Training	1	Chlamydomonas reinhardtii	Plants	191		False
O94358	O94358	0	Training	2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	845		False
A0A0S2UWC9	A0A0S2UWC9	0	Training	3	Petunia hybrida	Plants	249		False
Q9H0V1	Q9H0V1	0	Training	4	Homo sapiens	Metazoa	697		True
B0L3A2	B0L3A2	0	Training	0	Homo sapiens	Metazoa	85		True
E9PRG8	E9PRG8	0	Training	1	Homo sapiens	Metazoa	123		False
Q8WQX5	Q8WQX5	0	Training	2	Trypanosoma brucei brucei	Other	976		False
Q86YN6	Q86YN6	0	Training	3	Homo sapiens	Metazoa	1023		False
Q9FJL0	Q9FJL0	0	Training	4	Arabidopsis thaliana	Plants	1241		False
F1QN48	F1QN48	0	Training	0	Danio rerio	Metazoa	379		False
Q9H6R4	Q9H6R4	0	Training	1	Homo sapiens	Metazoa	1146		False
Q93Y32	Q93Y32	0	Training	2	Arabidopsis thaliana	Plants	384		False
Q9T6H8	Q9T6H8	0	Training	3	Arabidopsis thaliana	Plants	382		True
O75426	O75426	0	Training	4	Homo sapiens	Metazoa	580		False
Q8RWL4	Q8RWL4	0	Training	0	Arabidopsis thaliana	Plants	349		False
Q9BQ65	Q9BQ65	0	Training	1	Homo sapiens	Metazoa	265		False
Q9BQL6	Q9BQL6	0	Training	2	Homo sapiens	Metazoa	677		False
Q9Y7Y6	Q9Y7Y6	0	Training	3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	291		False
Q8LEA8	Q8LEA8	0	Training	4	Arabidopsis thaliana	Plants	336		False
Q8I397	Q8I397	0	Training	0	Plasmodium falciparum (isolate 3D7)	Other	1199		True
O74946	O74946	0	Training	1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	574		False
G5EGA9	G5EGA9	0	Training	2	Caenorhabditis elegans	Metazoa	345		False
Q6NVG5	Q6NVG5	0	Training	3	Mus musculus	Metazoa	214		False
P25038	P25038	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	676		False
S0DPL8	S0DPL8	0	Training	0	Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831)	Fungi	389		False
Q9Y237	Q9Y237	0	Training	1	Homo sapiens	Metazoa	131		False
J7M799	J7M799	0	Training	2	Ramazzottius varieornatus	Metazoa	237		False
Q91VD9	Q91VD9	0	Training	3	Mus musculus	Metazoa	727		False
Q96CU9	Q96CU9	0	Training	4	Homo sapiens	Metazoa	486		True
F4HVG8	F4HVG8	0	Training	0	Arabidopsis thaliana	Plants	611		False
Q5BKX6	Q5BKX6	0	Training	1	Homo sapiens	Metazoa	768		True
P24499	P24499	0	Training	2	Trypanosoma brucei brucei	Other	229		True
P14712	P14712	0	Training	3	Arabidopsis thaliana	Plants	1122		False
Q24167	Q24167	0	Training	4	Drosophila melanogaster	Metazoa	1507		False
P53885	P53885	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	366		False
B0F481	B0F481	0	Training	1	Arabidopsis thaliana	Plants	833		False
P56286	P56286	0	Training	2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	306		False
Q9BSK0	Q9BSK0	0	Training	3	Homo sapiens	Metazoa	173		True
O65220	O65220	0	Training	4	Arabidopsis thaliana	Plants	281		False
P07471	P07471	0	Training	0	Bos taurus	Metazoa	97		True
Q9Y530	Q9Y530	0	Training	1	Homo sapiens	Metazoa	152		False
Q29455	Q29455	0	Training	2	Bos taurus	Metazoa	198		False
O13894	O13894	0	Training	3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	124		False
P29147	P29147	0	Training	4	Rattus norvegicus	Metazoa	343		False
Q08887	Q08887	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	554		False
P25420	P25420	0	Training	1	Heliothis virescens	Metazoa	569		False
Q5PP51	Q5PP51	0	Training	2	Arabidopsis thaliana	Plants	362		False
O88845	O88845	0	Training	3	Mus musculus	Metazoa	662		False
P25638	P25638	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	111		False
Q6P1L8	Q6P1L8	0	Training	0	Homo sapiens	Metazoa	145		False
Q9NYQ3	Q9NYQ3	0	Training	1	Homo sapiens	Metazoa	351		False
Q6UN15	Q6UN15	0	Training	2	Homo sapiens	Metazoa	594		False
O13853	O13853	0	Training	3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	742		False
Q9VC45	Q9VC45	0	Training	4	Drosophila melanogaster	Metazoa	1954		False
Q04751	Q04751	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	285		False
P38198	P38198	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1513		False
Q05809	Q05809	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	96		False
Q9FEN9	Q9FEN9	0	Training	3	Arabidopsis thaliana	Plants	228		False
Q04341	Q04341	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	121		False
Q9WVH3	Q9WVH3	0	Training	0	Mus musculus	Metazoa	505		False
P53721	P53721	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	224		True
Q12180	Q12180	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1030		False
Q9R269	Q9R269	0	Training	3	Mus musculus	Metazoa	1755		False
Q1K8E0	Q1K8E0	0	Training	4	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	256		False
P40568	P40568	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	576		False
Q9QWH1	Q9QWH1	0	Training	1	Mus musculus	Metazoa	850		False
P07276	P07276	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1031		False
P27864	P27864	0	Training	3	Drosophila melanogaster	Metazoa	679		False
Q15172	Q15172	0	Training	4	Homo sapiens	Metazoa	486		False
Q20924	Q20924	0	Training	0	Caenorhabditis elegans	Metazoa	473		False
Q9DBN1	Q9DBN1	0	Training	1	Mus musculus	Metazoa	621		True
Q9W6V6	Q9W6V6	0	Training	2	Gallus gallus	Metazoa	2705		False
Q01453	Q01453	0	Training	3	Homo sapiens	Metazoa	160		True
Q04264	Q04264	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1277		False
Q84JW1	Q84JW1	0	Training	0	Arabidopsis thaliana	Plants	231		False
Q9CPR8	Q9CPR8	0	Training	1	Mus musculus	Metazoa	279		False
Q9FEC1	Q9FEC1	0	Training	2	Arabidopsis thaliana	Plants	172		False
Q9NWH2	Q9NWH2	0	Training	3	Homo sapiens	Metazoa	141		True
P40159	P40159	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	199		False
P38324	P38324	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	304		False
O13294	O13294	0	Training	1	Candida tropicalis	Fungi	411		False
Q02796	Q02796	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	332		False
Q02794	Q02794	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	444		False
P09543	P09543	0	Training	4	Homo sapiens	Metazoa	421		False
Q8WTT2	Q8WTT2	0	Training	0	Homo sapiens	Metazoa	800		False
F4JP43	F4JP43	0	Training	1	Arabidopsis thaliana	Plants	2037		False
P63040	P63040	0	Training	2	Mus musculus	Metazoa	134		False
O54963	O54963	0	Training	3	Rattus norvegicus	Metazoa	1069		False
Q5T6F0	Q5T6F0	0	Training	4	Homo sapiens	Metazoa	453		False
Q6IQ49	Q6IQ49	0	Training	0	Homo sapiens	Metazoa	451		False
Q9H299	Q9H299	0	Training	1	Homo sapiens	Metazoa	93		False
Q9C8Y3	Q9C8Y3	0	Training	2	Arabidopsis thaliana	Plants	511		False
O74400	O74400	0	Training	3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	674		False
Q5ZEP9	Q5ZEP9	0	Training	4	Caenorhabditis elegans	Metazoa	281		False
Q9USX8	Q9USX8	0	Training	0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	237		False
Q6P4A7	Q6P4A7	0	Training	1	Homo sapiens	Metazoa	337		False
Q9FMW8	Q9FMW8	0	Training	2	Arabidopsis thaliana	Plants	354		False
P34219	P34219	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	525		False
P69851	P69851	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	72		False
Q9H7D7	Q9H7D7	0	Training	0	Homo sapiens	Metazoa	661		False
Q8R3C6	Q8R3C6	0	Training	1	Mus musculus	Metazoa	952		False
Q6NKS4	Q6NKS4	0	Training	2	Arabidopsis thaliana	Plants	258		False
Q43157	Q43157	0	Training	3	Spinacia oleracea	Plants	285		False
Q96E09	Q96E09	0	Training	4	Homo sapiens	Metazoa	287		False
C0LLJ0	C0LLJ0	0	Training	0	Mus musculus	Metazoa	499		False
O76075	O76075	0	Training	1	Homo sapiens	Metazoa	338		False
Q7XHR2	Q7XHR2	0	Training	2	Oryza sativa subsp. japonica	Plants	927		False
P0DI83	P0DI83	0	Training	3	Homo sapiens	Metazoa	198		False
Q0WUA3	Q0WUA3	0	Training	4	Arabidopsis thaliana	Plants	382		False
Q08553	Q08553	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	188		False
Q9C5Z3	Q9C5Z3	0	Training	1	Arabidopsis thaliana	Plants	441		False
Q0PNE2	Q0PNE2	0	Training	2	Homo sapiens	Metazoa	266		False
Q8W234	Q8W234	0	Training	3	Arabidopsis thaliana	Plants	877		False
Q05543	Q05543	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	409		False
Q9MBA2	Q9MBA2	0	Training	0	Arabidopsis thaliana	Plants	326		False
P38818	P38818	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	585		False
Q6P0N0	Q6P0N0	0	Training	2	Homo sapiens	Metazoa	1132		False
Q53TQ3	Q53TQ3	0	Training	3	Homo sapiens	Metazoa	1027		False
Q9VQ91	Q9VQ91	0	Training	4	Drosophila melanogaster	Metazoa	576		False
Q9VDW6	Q9VDW6	0	Training	0	Drosophila melanogaster	Metazoa	3598		False
O60306	O60306	0	Training	1	Homo sapiens	Metazoa	1485		False
Q9H582	Q9H582	0	Training	2	Homo sapiens	Metazoa	1327		False
Q19087	Q19087	0	Training	3	Caenorhabditis elegans	Metazoa	470		False
Q24142	Q24142	0	Training	4	Drosophila melanogaster	Metazoa	601		False
Q19LA2	Q19LA2	0	Training	0	Colocasia esculenta	Plants	84		False
P46970	P46970	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1048		False
P0C5Y7	P0C5Y7	0	Training	2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	102		False
P57725	P57725	0	Training	3	Mus musculus	Metazoa	372		False
Q60EN8	Q60EN8	0	Training	4	Oryza sativa subsp. japonica	Plants	151		True
P82162	P82162	0	Training	0	Spinacia oleracea	Plants	195		False
Q8VY15	Q8VY15	0	Training	1	Arabidopsis thaliana	Plants	899		False
Q7Z6G8	Q7Z6G8	0	Training	2	Homo sapiens	Metazoa	1248		False
O74975	O74975	0	Training	3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	362		False
Q80U87	Q80U87	0	Training	4	Mus musculus	Metazoa	1080		False
Q5T7W0	Q5T7W0	0	Training	0	Homo sapiens	Metazoa	954		False
Q9H467	Q9H467	0	Training	1	Homo sapiens	Metazoa	287		False
O13699	O13699	0	Training	2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	430		False
Q8IDM6	Q8IDM6	0	Training	3	Plasmodium falciparum (isolate 3D7)	Other	422		True
Q96CM3	Q96CM3	0	Training	4	Homo sapiens	Metazoa	377		False
Q9P2Y4	Q9P2Y4	0	Training	0	Homo sapiens	Metazoa	722		False
Q9GGE2	Q9GGE2	0	Training	1	Chlamydomonas reinhardtii	Plants	100		False
P22224	P22224	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	910		False
Q86U44	Q86U44	0	Training	3	Homo sapiens	Metazoa	580		False
Q9M1E7	Q9M1E7	0	Training	4	Arabidopsis thaliana	Plants	285		True
Q8I8U7	Q8I8U7	0	Training	0	Drosophila melanogaster	Metazoa	3790		False
Q12748	Q12748	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	733		False
F4JTE7	F4JTE7	0	Training	2	Arabidopsis thaliana	Plants	298		False
Q9H7T9	Q9H7T9	0	Training	3	Homo sapiens	Metazoa	357		False
B5TYT3	B5TYT3	0	Training	4	Arabidopsis thaliana	Plants	771		True
Q9C9G6	Q9C9G6	0	Training	0	Arabidopsis thaliana	Plants	157		False
P87133	P87133	0	Training	1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	121		False
Q584D1	Q584D1	0	Training	2	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	639		False
Q96VH4	Q96VH4	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	193		False
Q8CI15	Q8CI15	0	Training	4	Mus musculus	Metazoa	382		False
O14079	O14079	0	Training	0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	624		False
Q9UUK4	Q9UUK4	0	Training	1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	202		False
Q7TSZ8	Q7TSZ8	0	Training	2	Mus musculus	Metazoa	514		False
Q9H1I8	Q9H1I8	0	Training	3	Homo sapiens	Metazoa	757		False
Q3UQS8	Q3UQS8	0	Training	4	Mus musculus	Metazoa	1199		False
O89091	O89091	0	Training	0	Mus musculus	Metazoa	479		False
P36011	P36011	0	Training	1	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	622		False
Q9CQR4	Q9CQR4	0	Training	2	Mus musculus	Metazoa	140		False
Q12433	Q12433	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	566		False
Q02099	Q02099	0	Training	4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	2386		False
Q6P2Q9	Q6P2Q9	0	Training	0	Homo sapiens	Metazoa	2335		False
Q86X29	Q86X29	0	Training	1	Homo sapiens	Metazoa	649		False
G5EDP2	G5EDP2	0	Training	2	Caenorhabditis elegans	Metazoa	412		False
H3BKT1	H3BKT1	0	Training	3	Mus musculus	Metazoa	185		False
Q9VPQ6	Q9VPQ6	0	Training	4	Drosophila melanogaster	Metazoa	1191		False
P32388	P32388	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	137		False
Q06011	Q06011	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	112		True
P22572	P22572	0	Training	2	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	453		False
P12686	P12686	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	339		False
P32776	P32776	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	642		False
Q8TAT5	Q8TAT5	0	Training	0	Homo sapiens	Metazoa	605		False
Q8NF64	Q8NF64	0	Training	1	Homo sapiens	Metazoa	920		False
P16383	P16383	0	Training	2	Homo sapiens	Metazoa	781		False
Q08949	Q08949	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	612		False
P41895	P41895	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	735		False
Q924H7	Q924H7	0	Training	0	Mus musculus	Metazoa	646		False
Q02199	Q02199	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	472		False
Q9ASV5	Q9ASV5	0	Training	2	Arabidopsis thaliana	Plants	650		True
Q9JKU3	Q9JKU3	0	Training	3	Rattus norvegicus	Metazoa	1749		False
O14893	O14893	0	Training	4	Homo sapiens	Metazoa	280		False
Q9C4Z7	Q9C4Z7	0	Training	0	Arabidopsis thaliana	Plants	229		False
P81760	P81760	0	Training	1	Arabidopsis thaliana	Plants	236		False
Q9D495	Q9D495	0	Training	2	Mus musculus	Metazoa	329		False
F4JZY1	F4JZY1	0	Training	3	Arabidopsis thaliana	Plants	1586		False
Q9U2Z0	Q9U2Z0	0	Training	4	Caenorhabditis elegans	Metazoa	391		False
O13788	O13788	0	Training	0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	527		False
Q5PRF9	Q5PRF9	0	Training	1	Homo sapiens	Metazoa	694		False
P14905	P14905	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	389		False
Q9Y3V2	Q9Y3V2	0	Training	3	Homo sapiens	Metazoa	267		False
P49957	P49957	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	279		False
P28033	P28033	0	Training	0	Mus musculus	Metazoa	296		False
Q3URU2	Q3URU2	0	Training	1	Mus musculus	Metazoa	1571		False
Q99679	Q99679	0	Training	2	Homo sapiens	Metazoa	349		True
Q7M750	Q7M750	0	Training	3	Mus musculus	Metazoa	143		True
Q8WUX2	Q8WUX2	0	Training	4	Homo sapiens	Metazoa	184		False
P0CH07	P0CH07	0	Training	0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	128		False
P0DH90	P0DH90	0	Training	1	Arabidopsis thaliana	Plants	609		False
Q9BXC9	Q9BXC9	0	Training	2	Homo sapiens	Metazoa	721		False
P39547	P39547	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	235		True
P48608	P48608	0	Training	4	Drosophila melanogaster	Metazoa	1091		False
Q8W4D8	Q8W4D8	0	Training	0	Arabidopsis thaliana	Plants	314		False
P32786	P32786	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	894		False
Q9SZD6	Q9SZD6	0	Training	2	Arabidopsis thaliana	Plants	953		False
P48526	P48526	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1002		False
O08774	O08774	0	Training	4	Rattus norvegicus	Metazoa	1387		False
Q24246	Q24246	0	Training	0	Drosophila melanogaster	Metazoa	663		False
P27707	P27707	0	Training	1	Homo sapiens	Metazoa	260		False
Q9V7P1	Q9V7P1	0	Training	2	Drosophila melanogaster	Metazoa	506		False
P27216	P27216	0	Training	3	Homo sapiens	Metazoa	316		False
