Q12396	Accession	Label	Set	CV_Fold
P24259	P24259	1	Training	4
O75629	O75629	1	Training	0
Q6UXB2	Q6UXB2	1	Training	1
P80964	P80964	1	Training	2
Q9HE18	Q9HE18	1	Training	3
P23438	P23438	1	Training	4
Q6UWI4	Q6UWI4	1	Training	0
Q6J4Q1	Q6J4Q1	1	Training	1
A7L035	A7L035	1	Training	2
Q9Y2I2	Q9Y2I2	1	Training	3
P43652	P43652	1	Training	4
P91745	P91745	1	Training	0
Q25055	Q25055	1	Training	1
P07141	P07141	1	Training	2
Q6UXH1	Q6UXH1	1	Training	3
Q7ZZN8	Q7ZZN8	1	Training	4
O95157	O95157	1	Training	0
P0C8G6	P0C8G6	1	Training	1
Q9H1M4	Q9H1M4	1	Training	2
Q09140	Q09140	1	Training	3
Q06K61	Q06K61	1	Training	4
Q01460	Q01460	1	Training	0
Q9BX93	Q9BX93	1	Training	1
P14770	P14770	1	Training	2
Q9UIK5	Q9UIK5	1	Training	3
P43497	P43497	1	Training	4
O70280	O70280	1	Training	0
P20740	P20740	1	Training	1
O01949	O01949	1	Training	2
Q41015	Q41015	1	Training	3
P12729	P12729	1	Training	4
P28039	P28039	1	Training	0
P56201	P56201	1	Training	1
P45478	P45478	1	Training	2
Q6UW56	Q6UW56	1	Training	3
P82290	P82290	1	Training	4
Q96LA5	Q96LA5	1	Training	0
Q13145	Q13145	1	Training	1
O43852	O43852	1	Training	2
P83234	P83234	1	Training	3
Q12127	Q12127	1	Training	4
P19069	P19069	1	Training	0
P12273	P12273	1	Training	1
Q9BZR6	Q9BZR6	1	Training	2
P01131	P01131	1	Training	3
P80370	P80370	1	Training	4
Q9UAD0	Q9UAD0	1	Training	0
Q9H293	Q9H293	1	Training	1
Q99972	Q99972	1	Training	2
P06912	P06912	1	Training	3
P0DJI8	P0DJI8	1	Training	4
P0DUS8	P0DUS8	1	Training	0
P18510	P18510	1	Training	1
Q9H6E4	Q9H6E4	1	Training	2
F1N5C8	F1N5C8	1	Training	3
Q7Z0T3	Q7Z0T3	1	Training	4
Q4W1I9	Q4W1I9	1	Training	0
Q42502	Q42502	1	Training	1
P86798	P86798	1	Training	2
F1NSM7	F1NSM7	1	Training	3
P31096	P31096	1	Training	4
Q8MP06	Q8MP06	1	Training	0
P07981	P07981	1	Training	1
P11839	P11839	1	Training	2
Q9UKY0	Q9UKY0	1	Training	3
Q7YZS9	Q7YZS9	1	Training	4
A0A0R4I951	A0A0R4I951	1	Training	0
Q92956	Q92956	1	Training	1
Q08380	Q08380	1	Training	2
D4A540	D4A540	1	Training	3
P55000	P55000	1	Training	4
Q5PP12	Q5PP12	1	Training	0
O60844	O60844	1	Training	1
P60568	P60568	1	Training	2
P46165	P46165	1	Training	3
Q06KA5	Q06KA5	1	Training	4
Q8WUJ3	Q8WUJ3	1	Training	0
Q75N35	Q75N35	1	Training	1
P06681	P06681	1	Training	2
C0HKG0	C0HKG0	1	Training	3
Q96BF3	Q96BF3	1	Training	4
D3GDK4	D3GDK4	1	Training	0
P11911	P11911	1	Training	1
Q13445	Q13445	1	Training	2
Q29381	Q29381	1	Training	3
Q99372	Q99372	1	Training	4
P49767	P49767	1	Training	0
O95813	O95813	1	Training	1
Q90WJ7	Q90WJ7	1	Training	2
P97535	P97535	1	Training	3
B0XT72	B0XT72	1	Training	4
P02654	P02654	1	Training	0
Q27082	Q27082	1	Training	1
Q9LRC8	Q9LRC8	1	Training	2
Q9Y5U5	Q9Y5U5	1	Training	3
Q8S2W4	Q8S2W4	1	Training	4
Q9U8X3	Q9U8X3	1	Training	0
P43077	P43077	1	Training	1
Q9HBE5	Q9HBE5	1	Training	2
Q16552	Q16552	1	Training	3
P14209	P14209	1	Training	4
O43866	O43866	1	Training	0
Q86IV5	Q86IV5	1	Training	1
P0DSJ6	P0DSJ6	1	Training	2
Q76CA2	Q76CA2	1	Training	3
Q8TDQ1	Q8TDQ1	1	Training	4
Q9NR16	Q9NR16	1	Training	0
P01579	P01579	1	Training	1
Q9Y6C2	Q9Y6C2	1	Training	2
P0DPU3	P0DPU3	1	Training	3
P00651	P00651	1	Training	4
Q09022	Q09022	1	Training	0
Q15465	Q15465	1	Training	1
Q86WA6	Q86WA6	1	Training	2
Q92643	Q92643	1	Training	3
Q9UHF4	Q9UHF4	1	Training	4
D3Z9M3	D3Z9M3	1	Training	0
Q9NJP7	Q9NJP7	1	Training	1
P09230	P09230	1	Training	2
P10562	P10562	1	Training	3
P19427	P19427	1	Training	4
Q15762	Q15762	1	Training	0
P04552	P04552	1	Training	1
P0C8G7	P0C8G7	1	Training	2
P83313	P83313	1	Training	3
Q96BY9	Q96BY9	1	Training	4
P16150	P16150	1	Training	0
P25116	P25116	1	Training	1
P16382	P16382	1	Training	2
Q9NRM6	Q9NRM6	1	Training	3
Q99MG7	Q99MG7	1	Training	4
P33559	P33559	1	Training	0
P58912	P58912	1	Training	1
Q8WWA0	Q8WWA0	1	Training	2
Q00293	Q00293	1	Training	3
I3LGZ3	I3LGZ3	1	Training	4
P01174	P01174	1	Training	0
Q14802	Q14802	1	Training	1
P67875	P67875	1	Training	2
P21128	P21128	1	Training	3
Q9V496	Q9V496	1	Training	4
P35053	P35053	1	Training	0
P23389	P23389	1	Training	1
I1SB12	I1SB12	1	Training	2
Q90W22	Q90W22	1	Training	3
Q5KQS1	Q5KQS1	1	Training	4
Q6UW88	Q6UW88	1	Training	0
P81160	P81160	1	Training	1
O62644	O62644	1	Training	2
P23577	P23577	1	Training	3
A7VN15	A7VN15	1	Training	4
Q8T113	Q8T113	1	Training	0
P16882	P16882	1	Training	1
P30659	P30659	1	Training	2
Q6ASY2	Q6ASY2	1	Training	3
G4ZHR2	G4ZHR2	1	Training	4
Q9NBW4	Q9NBW4	1	Training	0
C5P3X6	C5P3X6	1	Training	1
P18658	P18658	1	Training	2
Q95460	Q95460	1	Training	3
H6U1I8	H6U1I8	1	Training	4
Q6QD51	Q6QD51	1	Training	0
P02230	P02230	1	Training	1
P42292	P42292	1	Training	2
Q8NBI3	Q8NBI3	1	Training	3
Q71DJ5	Q71DJ5	1	Training	4
P02810	P02810	1	Training	0
Q96IQ7	Q96IQ7	1	Training	1
Q8TAL6	Q8TAL6	1	Training	2
P41543	P41543	1	Training	3
P11717	P11717	1	Training	4
P26842	P26842	1	Training	0
O64411	O64411	1	Training	1
P55955	P55955	1	Training	2
P02808	P02808	1	Training	3
P03998	P03998	1	Training	4
P13611	P13611	1	Training	0
Q8T0Y7	Q8T0Y7	1	Training	1
Q3L1D1	Q3L1D1	1	Training	2
Q6E0U4	Q6E0U4	1	Training	3
Q95UE8	Q95UE8	1	Training	4
Q9LJD9	Q9LJD9	1	Training	0
Q9GU69	Q9GU69	1	Training	1
P0DUS5	P0DUS5	1	Training	2
P86100	P86100	1	Training	3
O95711	O95711	1	Training	4
Q9MYV1	Q9MYV1	1	Training	0
P18417	P18417	1	Training	1
Q8WMP9	Q8WMP9	1	Training	2
Q9UKZ9	Q9UKZ9	1	Training	3
P01721	P01721	1	Training	4
P02662	P02662	1	Training	0
P11919	P11919	1	Training	1
P35777	P35777	1	Training	2
P26203	P26203	1	Training	3
P80356	P80356	1	Training	4
P05067	P05067	1	Training	0
Q09117	Q09117	1	Training	1
P05186	P05186	1	Training	2
P30440	P30440	1	Training	3
Q9D6Y1	Q9D6Y1	1	Training	4
Q02747	Q02747	1	Training	0
Q07654	Q07654	1	Training	1
P03971	P03971	1	Training	2
Q27908	Q27908	1	Training	3
P13725	P13725	1	Training	4
A9UGV5	A9UGV5	1	Training	0
Q7M418	Q7M418	1	Training	1
Q92563	Q92563	1	Training	2
Q8MI01	Q8MI01	1	Training	3
P13598	P13598	1	Training	4
Q8H8C7	Q8H8C7	1	Training	0
Q3Y5Z3	Q3Y5Z3	1	Training	1
P16611	P16611	1	Training	2
Q8C1Q4	Q8C1Q4	1	Training	3
P10124	P10124	1	Training	4
P22455	P22455	1	Training	0
P61312	P61312	1	Training	1
P14217	P14217	1	Training	2
Q9UBT3	Q9UBT3	1	Training	3
Q9NS68	Q9NS68	1	Training	4
O60602	O60602	1	Training	0
Q02862	Q02862	1	Training	1
P01591	P01591	1	Training	2
Q00193	Q00193	1	Training	3
P19667	P19667	1	Training	4
P07596	P07596	1	Training	0
P15018	P15018	1	Training	1
Q9Y5Q6	Q9Y5Q6	1	Training	2
Q9VA83	Q9VA83	1	Training	3
P67970	P67970	1	Training	4
Q10E50	Q10E50	1	Training	0
P07529	P07529	1	Training	1
Q9NPG1	Q9NPG1	1	Training	2
G8YYA6	G8YYA6	1	Training	3
Q27309	Q27309	1	Training	4
Q76CE8	Q76CE8	1	Training	0
P26006	P26006	1	Training	1
P52823	P52823	1	Training	2
Q6UX52	Q6UX52	1	Training	3
P20068	P20068	1	Training	4
P01888	P01888	1	Training	0
Q9NR61	Q9NR61	1	Training	1
Q9UBN6	Q9UBN6	1	Training	2
Q9SLP4	Q9SLP4	1	Training	3
O76192	O76192	1	Training	4
P01538	P01538	1	Training	0
I2C090	I2C090	1	Training	1
Q9Y279	Q9Y279	1	Training	2
Q05895	Q05895	1	Training	3
Q9NTU7	Q9NTU7	1	Training	4
P35331	P35331	1	Training	0
P42579	P42579	1	Training	1
P52706	P52706	1	Training	2
Q63617	Q63617	1	Training	3
Q8MMH0	Q8MMH0	1	Training	4
P49256	P49256	1	Training	0
P01348	P01348	1	Training	1
Q8I7X1	Q8I7X1	1	Training	2
P15196	P15196	1	Training	3
P48819	P48819	1	Training	4
P25033	P25033	1	Training	0
P80513	P80513	1	Training	1
P36511	P36511	1	Training	2
Q17128	Q17128	1	Training	3
O76537	O76537	1	Training	4
I6S7I0	I6S7I0	1	Training	0
Q64385	Q64385	1	Training	1
O35806	O35806	1	Training	2
Q02795	Q02795	1	Training	3
P30121	P30121	1	Training	4
O96910	O96910	1	Training	0
P50895	P50895	1	Training	1
Q7KRU8	Q7KRU8	1	Training	2
Q8LG54	Q8LG54	1	Training	3
Q63345	Q63345	1	Training	4
Q55U20	Q55U20	1	Training	0
P15467	P15467	1	Training	1
Q5G8A6	Q5G8A6	1	Training	2
P80686	P80686	1	Training	3
Q96KN2	Q96KN2	1	Training	4
P26010	P26010	1	Training	0
Q9Z0K8	Q9Z0K8	1	Training	1
P38570	P38570	1	Training	2
Q9JMI7	Q9JMI7	1	Training	3
Q07092	Q07092	1	Training	4
G4V4F9	G4V4F9	1	Training	0
Q7SZI7	Q7SZI7	1	Training	1
Q8MJV4	Q8MJV4	1	Training	2
P34115	P34115	1	Training	3
P42705	P42705	1	Training	4
P80109	P80109	1	Training	0
P07602	P07602	1	Training	1
Q61789	Q61789	1	Training	2
Q8W257	Q8W257	1	Training	3
P0DPU7	P0DPU7	1	Training	4
P21956	P21956	1	Training	0
Q9GL30	Q9GL30	1	Training	1
Q5D710	Q5D710	1	Training	2
Q63191	Q63191	1	Training	3
G5EC68	G5EC68	1	Training	4
Q9NRC9	Q9NRC9	1	Training	0
A0A023W145	A0A023W145	1	Training	1
P51654	P51654	1	Training	2
P22748	P22748	1	Training	3
P02663	P02663	1	Training	4
A2VBC4	A2VBC4	1	Training	0
P02870	P02870	1	Training	1
P22388	P22388	1	Training	2
Q9BXJ7	Q9BXJ7	1	Training	3
Q91XZ4	Q91XZ4	1	Training	4
P63153	P63153	1	Training	0
Q5GQ85	Q5GQ85	1	Training	1
Q15582	Q15582	1	Training	2
Q9LXD6	Q9LXD6	1	Training	3
Q9Y251	Q9Y251	1	Training	4
P0DPV1	P0DPV1	1	Training	0
Q7M3V1	Q7M3V1	1	Training	1
P01168	P01168	1	Training	2
C0HLA0	C0HLA0	1	Training	3
Q9U943	Q9U943	1	Training	4
Q96X54	Q96X54	1	Training	0
P19400	P19400	1	Training	1
B9A8D7	B9A8D7	1	Training	2
P60153	P60153	1	Training	3
Q8WML4	Q8WML4	1	Training	4
P42578	P42578	1	Training	0
P29241	P29241	1	Training	1
P07457	P07457	1	Training	2
Q13421	Q13421	1	Training	3
Q76FP5	Q76FP5	1	Training	4
Q5ZPR3	Q5ZPR3	1	Training	0
P17813	P17813	1	Training	1
Q0P569	Q0P569	1	Training	2
P17164	P17164	1	Training	3
Q9HB40	Q9HB40	1	Training	4
P09464	P09464	1	Training	0
Q14002	Q14002	1	Training	1
P14384	P14384	1	Training	2
Q969Z4	Q969Z4	1	Training	3
P29060	P29060	1	Training	4
P02462	P02462	1	Training	0
A0A482A9N4	A0A482A9N4	1	Training	1
P45590	P45590	1	Training	2
P01048	P01048	1	Training	3
O46432	O46432	1	Training	4
P18684	P18684	1	Training	0
Q62632	Q62632	1	Training	1
P14214	P14214	1	Training	2
P68248	P68248	1	Training	3
P0DUQ6	P0DUQ6	1	Training	4
Q8T9R8	Q8T9R8	1	Training	0
O18994	O18994	1	Training	1
P14630	P14630	1	Training	2
A0A5C2A2T2	A0A5C2A2T2	1	Training	3
O60931	O60931	1	Training	4
P81054	P81054	1	Training	0
Q95NY5	Q95NY5	1	Training	1
P09479	P09479	1	Training	2
Q16568	Q16568	1	Training	3
Q39649	Q39649	1	Training	4
P52798	P52798	1	Training	0
P07359	P07359	1	Training	1
Q94733	Q94733	1	Training	2
B0FHH8	B0FHH8	1	Training	3
Q95JC9	Q95JC9	1	Training	4
Q6Z232	Q6Z232	1	Training	0
M1MR49	M1MR49	1	Training	1
C0H9B6	C0H9B6	1	Training	2
P82103	P82103	1	Training	3
Q99ML8	Q99ML8	1	Training	4
Q6UW10	Q6UW10	1	Training	0
Q0IQK9	Q0IQK9	1	Training	1
P28825	P28825	1	Training	2
Q1HAY7	Q1HAY7	1	Training	3
P49921	P49921	1	Training	4
P31723	P31723	1	Training	0
P32472	P32472	1	Training	1
Q02596	Q02596	1	Training	2
P84843	P84843	1	Training	3
P17697	P17697	1	Training	4
P0DMD3	P0DMD3	1	Training	0
P79208	P79208	1	Training	1
Q6UX41	Q6UX41	1	Training	2
G9M8X1	G9M8X1	1	Training	3
Q8X150	Q8X150	1	Training	4
P00688	P00688	1	Training	0
Q64HC7	Q64HC7	1	Training	1
Q9UK23	Q9UK23	1	Training	2
Q4WZ11	Q4WZ11	1	Training	3
P10619	P10619	1	Training	4
Q26994	Q26994	1	Training	0
A0A1W6EVN2	A0A1W6EVN2	1	Training	1
Q6UWV2	Q6UWV2	1	Training	2
P20333	P20333	1	Training	3
Q76FB0	Q76FB0	1	Training	4
Q43413	Q43413	1	Training	0
P0CS93	P0CS93	1	Training	1
Q01584	Q01584	1	Training	2
P20507	P20507	1	Training	3
P80961	P80961	1	Training	4
Q9NZV1	Q9NZV1	1	Training	0
P00992	P00992	1	Training	1
P0CX78	P0CX78	1	Training	2
P17301	P17301	1	Training	3
Q9ES58	Q9ES58	1	Training	4
P18709	P18709	1	Training	0
O59896	O59896	1	Training	1
Q2PS07	Q2PS07	1	Training	2
P30919	P30919	1	Training	3
Q8T0W8	Q8T0W8	1	Training	4
Q86YL7	Q86YL7	1	Training	0
Q96DU3	Q96DU3	1	Training	1
B4FZ87	B4FZ87	1	Training	2
P02763	P02763	1	Training	3
B3STN5	B3STN5	1	Training	4
P81264	P81264	1	Training	0
F2QXM5	F2QXM5	1	Training	1
Q8NI17	Q8NI17	1	Training	2
P01500	P01500	1	Training	3
P81058	P81058	1	Training	4
Q9GV28	Q9GV28	1	Training	0
Q99467	Q99467	1	Training	1
P20013	P20013	1	Training	2
P35578	P35578	1	Training	3
Q8NBL1	Q8NBL1	1	Training	4
Q13231	Q13231	1	Training	0
Q86Y78	Q86Y78	1	Training	1
P23502	P23502	1	Training	2
O43291	O43291	1	Training	3
L8BRS3	L8BRS3	1	Training	4
P13686	P13686	1	Training	0
P43307	P43307	1	Training	1
P55057	P55057	1	Training	2
O08795	O08795	1	Training	3
P81605	P81605	1	Training	4
P27773	P27773	1	Training	0
P01226	P01226	1	Training	1
Q556R7	Q556R7	1	Training	2
P48747	P48747	1	Training	3
Q56S59	Q56S59	1	Training	4
Q01528	Q01528	1	Training	0
P06332	P06332	1	Training	1
P22894	P22894	1	Training	2
Q8MMJ7	Q8MMJ7	1	Training	3
A0A2I8B346	A0A2I8B346	1	Training	4
P45561	P45561	1	Training	0
O95633	O95633	1	Training	1
Q945U0	Q945U0	1	Training	2
Q03472	Q03472	1	Training	3
Q92154	Q92154	1	Training	4
Q13478	Q13478	1	Training	0
P48765	P48765	1	Training	1
P49125	P49125	1	Training	2
Q28143	Q28143	1	Training	3
P08582	P08582	1	Training	4
Q8I948	Q8I948	1	Training	0
Q9NYY1	Q9NYY1	1	Training	1
P12872	P12872	1	Training	2
Q6IV20	Q6IV20	1	Training	3
O35701	O35701	1	Training	4
O18998	O18998	1	Training	0
P10762	P10762	1	Training	1
Q9H7M9	Q9H7M9	1	Training	2
Q7Q7R8	Q7Q7R8	1	Training	3
P19035	P19035	1	Training	4
P23515	P23515	1	Training	0
P16235	P16235	1	Training	1
O75711	O75711	1	Training	2
P31420	P31420	1	Training	3
P18650	P18650	1	Training	4
Q4V645	Q4V645	1	Training	0
P08505	P08505	1	Training	1
Q05928	Q05928	1	Training	2
P01076	P01076	1	Training	3
P08236	P08236	1	Training	4
Q8WPJ2	Q8WPJ2	1	Training	0
Q27972	Q27972	1	Training	1
P11021	P11021	1	Training	2
P85197	P85197	1	Training	3
P13671	P13671	1	Training	4
P04217	P04217	1	Training	0
P0DUT0	P0DUT0	1	Training	1
P01364	P01364	1	Training	2
Q9UVI4	Q9UVI4	1	Training	3
Q8J0D2	Q8J0D2	1	Training	4
P02774	P02774	1	Training	0
U6BLZ9	U6BLZ9	1	Training	1
Q52085	Q52085	1	Training	2
O15455	O15455	1	Training	3
P00719	P00719	1	Training	4
O62680	O62680	1	Training	0
P86407	P86407	1	Training	1
I6S7G5	I6S7G5	1	Training	2
Q17058	Q17058	1	Training	3
Q8WP90	Q8WP90	1	Training	4
Q0ZS88	Q0ZS88	1	Training	0
P15261	P15261	1	Training	1
Q9C5S0	Q9C5S0	1	Training	2
P38660	P38660	1	Training	3
O18330	O18330	1	Training	4
P82358	P82358	1	Training	0
P04937	P04937	1	Training	1
P38574	P38574	1	Training	2
Q02126	Q02126	1	Training	3
P32803	P32803	1	Training	4
P04925	P04925	1	Training	0
P0DQE1	P0DQE1	1	Training	1
A0A7J6K7I9	A0A7J6K7I9	1	Training	2
P15289	P15289	1	Training	3
Q8GT41	Q8GT41	1	Training	4
A0A3N2PQC3	A0A3N2PQC3	1	Training	0
Q6UXL0	Q6UXL0	1	Training	1
P10493	P10493	1	Training	2
P14925	P14925	1	Training	3
P20462	P20462	1	Training	4
E0X9F6	E0X9F6	1	Training	0
Q8N6C8	Q8N6C8	1	Training	1
P01177	P01177	1	Training	2
Q9VG55	Q9VG55	1	Training	3
P33487	P33487	1	Training	4
Q13433	Q13433	1	Training	0
P86929	P86929	1	Training	1
Q9N4D8	Q9N4D8	1	Training	2
Q70SU7	Q70SU7	1	Training	3
Q6IUU3	Q6IUU3	1	Training	4
Q08481	Q08481	1	Training	0
P11215	P11215	1	Training	1
Q8MUP7	Q8MUP7	1	Training	2
A1X159	A1X159	1	Training	3
P32358	P32358	1	Training	4
Q9SUQ8	Q9SUQ8	1	Training	0
Q8TCT8	Q8TCT8	1	Training	1
P55083	P55083	1	Training	2
P06727	P06727	1	Training	3
P43121	P43121	1	Training	4
Q12546	Q12546	1	Training	0
Q9ERQ6	Q9ERQ6	1	Training	1
P08069	P08069	1	Training	2
P35859	P35859	1	Training	3
P04062	P04062	1	Training	4
P07897	P07897	1	Training	0
P20112	P20112	1	Training	1
P51688	P51688	1	Training	2
P06911	P06911	1	Training	3
Q86SC0	Q86SC0	1	Training	4
P06865	P06865	1	Training	0
Q9NRR1	Q9NRR1	1	Training	1
O75462	O75462	1	Training	2
P18181	P18181	1	Training	3
O62605	O62605	1	Training	4
Q9NAX4	Q9NAX4	1	Training	0
P22301	P22301	1	Training	1
P33577	P33577	1	Training	2
P25291	P25291	1	Training	3
Q27270	Q27270	1	Training	4
Q9ZWA9	Q9ZWA9	1	Training	0
P83472	P83472	1	Training	1
Q6IWZ0	Q6IWZ0	1	Training	2
P80915	P80915	1	Training	3
P24021	P24021	1	Training	4
Q8L9T8	Q8L9T8	1	Training	0
P22063	P22063	1	Training	1
O14786	O14786	1	Training	2
P27919	P27919	1	Training	3
P34170	P34170	1	Training	4
P02466	P02466	1	Training	0
Q5JNJ5	Q5JNJ5	1	Training	1
Q09098	Q09098	1	Training	2
Q9TT95	Q9TT95	1	Training	3
Q9NQ34	Q9NQ34	1	Training	4
Q6GU94	Q6GU94	1	Training	0
P12992	P12992	1	Training	1
K9N4Q4	K9N4Q4	1	Training	2
Q08334	Q08334	1	Training	3
P00635	P00635	1	Training	4
P81702	P81702	1	Training	0
Q9C9H5	Q9C9H5	1	Training	1
Q8NBM8	Q8NBM8	1	Training	2
O42807	O42807	1	Training	3
Q6QX33	Q6QX33	1	Training	4
P82818	P82818	1	Training	0
P02783	P02783	1	Training	1
Q9R1T7	Q9R1T7	1	Training	2
P13917	P13917	1	Training	3
P28335	P28335	1	Training	4
O64392	O64392	1	Training	0
O00105	O00105	1	Training	1
Q15768	Q15768	1	Training	2
Q8NBN3	Q8NBN3	1	Training	3
Q653V7	Q653V7	1	Training	4
Q9BWV1	Q9BWV1	1	Training	0
Q13651	Q13651	1	Training	1
P11438	P11438	1	Training	2
P29459	P29459	1	Training	3
Q2ULM2	Q2ULM2	1	Training	4
Q25255	Q25255	1	Training	0
Q9BZW8	Q9BZW8	1	Training	1
B1P0S1	B1P0S1	1	Training	2
P30986	P30986	1	Training	3
K9L4P7	K9L4P7	1	Training	4
Q8I817	Q8I817	1	Training	0
A0A8T9EMC0	A0A8T9EMC0	1	Training	1
Q9Z0L3	Q9Z0L3	1	Training	2
P02652	P02652	1	Training	3
P01350	P01350	1	Training	4
P16159	P16159	1	Training	0
P42264	P42264	1	Training	1
P42098	P42098	1	Training	2
Q8JFY4	Q8JFY4	1	Training	3
Q01638	Q01638	1	Training	4
Q9C9G4	Q9C9G4	1	Training	0
E0D877	E0D877	1	Training	1
Q7Z5A7	Q7Z5A7	1	Training	2
P05533	P05533	1	Training	3
P36980	P36980	1	Training	4
P02727	P02727	1	Training	0
Q9PVW8	Q9PVW8	1	Training	1
Q90ZY0	Q90ZY0	1	Training	2
Q28989	Q28989	1	Training	3
Q9NPR2	Q9NPR2	1	Training	4
Q8TC27	Q8TC27	1	Training	0
F1RRV3	F1RRV3	1	Training	1
P53366	P53366	1	Training	2
Q96F46	Q96F46	1	Training	3
A4LAR6	A4LAR6	1	Training	4
O14791	O14791	1	Training	0
P28088	P28088	1	Training	1
Q8RUW5	Q8RUW5	1	Training	2
P12820	P12820	1	Training	3
Q6XE38	Q6XE38	1	Training	4
A0A0F7YZQ7	A0A0F7YZQ7	1	Training	0
O42720	O42720	1	Training	1
Q8HYA9	Q8HYA9	1	Training	2
A1XCI9	A1XCI9	1	Training	3
A0A0D1DWQ2	A0A0D1DWQ2	1	Training	4
Q9BQ51	Q9BQ51	1	Training	0
Q06K77	Q06K77	1	Training	1
P33681	P33681	1	Training	2
A8CL69	A8CL69	1	Training	3
P32802	P32802	1	Training	4
P07204	P07204	1	Training	0
P0DUS7	P0DUS7	1	Training	1
Q9Y2E5	Q9Y2E5	1	Training	2
Q02083	Q02083	1	Training	3
P47710	P47710	1	Training	4
Q76BW5	Q76BW5	1	Training	0
Q50KB1	Q50KB1	1	Training	1
Q9UBP4	Q9UBP4	1	Training	2
B3STN7	B3STN7	1	Training	3
P18418	P18418	1	Training	4
Q8T0W1	Q8T0W1	1	Training	0
P31608	P31608	1	Training	1
Q84V39	Q84V39	1	Training	2
P98066	P98066	1	Training	3
Q63415	Q63415	1	Training	4
P15358	P15358	1	Training	0
