Q12396	Accession
P04217	P04217
P15289	P15289
P23577	P23577
P27919	P27919
O76192	O76192
P29459	P29459
P18428	P18428
Q6UXB2	Q6UXB2
P14384	P14384
Q8MI01	Q8MI01
P81058	P81058
Q0ZS88	Q0ZS88
Q8WQK0	Q8WQK0
P0DPU8	P0DPU8
P02230	P02230
P58912	P58912
P43307	P43307
Q13162	Q13162
Q9BQ51	Q9BQ51
Q9C9H5	Q9C9H5
P48819	P48819
P02727	P02727
P02810	P02810
P26203	P26203
Q76FB0	Q76FB0
Q02862	Q02862
Q9UBP4	Q9UBP4
Q08481	Q08481
Q9NPF0	Q9NPF0
P86929	P86929
P80513	P80513
P80964	P80964
P0DUT6	P0DUT6
Q8N766	Q8N766
Q28989	Q28989
Q76CE8	Q76CE8
Q01528	Q01528
Q01129	Q01129
Q8L9T8	Q8L9T8
Q76CA2	Q76CA2
Q96PL1	Q96PL1
Q9NPA0	Q9NPA0
Q868Z9	Q868Z9
Q9NBW4	Q9NBW4
Q8NBL1	Q8NBL1
P49259	P49259
C0HKG0	C0HKG0
O75462	O75462
Q90W22	Q90W22
P31608	P31608
Q9NRM6	Q9NRM6
P31420	P31420
P19801	P19801
P81511	P81511
P23502	P23502
P53616	P53616
Q95NY5	Q95NY5
Q01584	Q01584
Q9Y5U5	Q9Y5U5
Q13651	Q13651
P29241	P29241
P20462	P20462
B3STN7	B3STN7
P23515	P23515
O42720	O42720
Q9UHF4	Q9UHF4
Q9GU69	Q9GU69
A0A0D1DWQ2	A0A0D1DWQ2
Q6ASY2	Q6ASY2
P02750	P02750
P19320	P19320
M1MR49	M1MR49
P02870	P02870
Q5ZPR3	Q5ZPR3
P31723	P31723
P45478	P45478
Q9N4D8	Q9N4D8
Q78CF9	Q78CF9
Q5PP12	Q5PP12
Q5AMT2	Q5AMT2
Q9TT95	Q9TT95
Q60GF7	Q60GF7
Q08380	Q08380
B3STN5	B3STN5
P14625	P14625
Q9SUQ8	Q9SUQ8
P11919	P11919
P10813	P10813
O35806	O35806
Q9ES58	Q9ES58
P81160	P81160
P54803	P54803
G4ZHR2	G4ZHR2
P0DPU3	P0DPU3
P20112	P20112
P11215	P11215
P35613	P35613
P01538	P01538
O95633	O95633
Q86YL7	Q86YL7
P04937	P04937
Q02126	Q02126
Q9Y251	Q9Y251
P01579	P01579
P15196	P15196
A0A8T9EMC0	A0A8T9EMC0
P81295	P81295
Q6IWZ0	Q6IWZ0
Q9UAD0	Q9UAD0
P0DUS7	P0DUS7
Q9ZT66	Q9ZT66
Q9H7M9	Q9H7M9
Q7M418	Q7M418
Q969Z4	Q969Z4
P21128	P21128
P86100	P86100
P18684	P18684
P28798	P28798
P24021	P24021
P0DSJ6	P0DSJ6
P13612	P13612
P55203	P55203
P48816	P48816
Q8NBM8	Q8NBM8
I3LGZ3	I3LGZ3
P91745	P91745
P42579	P42579
P19400	P19400
Q9H1M4	Q9H1M4
Q9JI59	Q9JI59
P47710	P47710
Q6GU94	Q6GU94
P43497	P43497
P01888	P01888
F1N5C8	F1N5C8
P18417	P18417
P50895	P50895
Q9UKZ9	Q9UKZ9
Q71DJ5	Q71DJ5
Q7M4T0	Q7M4T0
Q8NBJ9	Q8NBJ9
Q41015	Q41015
Q63617	Q63617
Q4V645	Q4V645
P69770	P69770
Q9Z0L3	Q9Z0L3
Q8C1Q4	Q8C1Q4
P07507	P07507
Q08334	Q08334
P52823	P52823
P07897	P07897
Q5KQS1	Q5KQS1
P0DPU7	P0DPU7
O42807	O42807
Q01965	Q01965
Q8MMJ7	Q8MMJ7
Q39962	Q39962
C0H9B6	C0H9B6
Q64HC7	Q64HC7
Q9VA83	Q9VA83
Q62632	Q62632
Q9UVI4	Q9UVI4
P01833	P01833
W1I921	W1I921
O46432	O46432
P11911	P11911
P22455	P22455
P02663	P02663
P0DJI8	P0DJI8
B0XRV0	B0XRV0
P81702	P81702
Q9BWV1	Q9BWV1
Q9NR16	Q9NR16
P11438	P11438
P83234	P83234
Q99972	Q99972
P43174	P43174
C5P3X6	C5P3X6
O75711	O75711
A0A7J6K7I9	A0A7J6K7I9
Q96DU3	Q96DU3
Q15762	Q15762
P18418	P18418
Q5B1W7	Q5B1W7
P00688	P00688
P80915	P80915
Q01638	Q01638
Q9HE18	Q9HE18
Q42502	Q42502
Q9NJP7	Q9NJP7
P00996	P00996
P07529	P07529
Q28143	Q28143
P43652	P43652
Q8RUW5	Q8RUW5
Q8ISL8	Q8ISL8
P07981	P07981
P30440	P30440
P13691	P13691
O64392	O64392
O35310	O35310
P05160	P05160
P32472	P32472
E0D877	E0D877
Q14802	Q14802
P07204	P07204
Q9H9K5	Q9H9K5
P80109	P80109
Q8T113	Q8T113
P00635	P00635
P22063	P22063
